001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempTotal001,020-TempTotal002,021-TempTotal003,022-TempTotal004
2.90000000000021E-005,3.62945884368925E+021,1.13848164108817E+022,1.13854580840096E+022,2.63997333385806E+022,3.90780881794414E+003,3.88105929060405E+003,4.03877441143354E+003,3.95275490895417E+003,3.88906582108449E+003,4.12950171954288E+003,0.00000000000000E+000,1.20127072770291E+001,8.22630030310059E+000,0.00000000000000E+000,3.63152011568357E+003,3.90749795801855E+003,0.00000000000000E+000,3.84929344735933E+003,4.03029542266175E+003,4.03877441143354E+003,4.00906785791542E+003
3.00000000000022E-005,3.54238569965126E+021,1.14718895549197E+022,1.14725312280476E+022,2.64868064826186E+022,3.95632024460191E+003,3.92257037063266E+003,3.87978934642443E+003,3.90855389924239E+003,3.84783141791458E+003,4.10891397961229E+003,0.00000000000000E+000,1.19592638003413E+001,8.21061088454419E+000,0.00000000000000E+000,3.54442319408146E+003,3.94437913653533E+003,0.00000000000000E+000,3.81527116388979E+003,4.03484008055742E+003,3.87978934642443E+003,3.93831571543845E+003
3.10000000000024E-005,3.47741004652146E+021,1.15368652080495E+022,1.15375068811774E+022,2.65517821357484E+022,3.89757252499288E+003,3.93848122168858E+003,3.94409920588730E+003,3.93556470252114E+003,3.78497715290027E+003,4.06417523707081E+003,0.00000000000000E+000,1.18759922189144E+001,8.17607633188476E+000,0.00000000000000E+000,3.75629860273673E+003,3.91201905477337E+003,0.00000000000000E+000,3.79906031330358E+003,4.00537542719929E+003,3.94409920588730E+003,3.95172866753671E+003
3.20000000000025E-005,3.45502944795643E+021,1.15592458066145E+022,1.15598874797425E+022,2.65741627343134E+022,3.83665775190324E+003,3.95792451976128E+003,3.99268450350575E+003,3.95727882667602E+003,3.71585626126440E+003,4.01620316357870E+003,0.00000000000000E+000,1.17818083409538E+001,8.13836143381823E+000,0.00000000000000E+000,4.06199149299462E+003,4.00352113490112E+003,0.00000000000000E+000,3.79463397274613E+003,4.00114611340485E+003,3.99268450350575E+003,3.97061567698889E+003
3.30000000000027E-005,3.42595363638194E+021,1.15883216181890E+022,1.15889632913170E+022,2.66032385458879E+022,4.04851131460044E+003,3.91937059872499E+003,4.08768872160425E+003,4.00932440823363E+003,3.73741345684259E+003,3.96526170451967E+003,0.00000000000000E+000,1.18114821625448E+001,8.09751504368989E+000,0.00000000000000E+000,3.96306395591065E+003,3.99127268533457E+003,0.00000000000000E+000,3.82781834599122E+003,3.96103114510870E+003,4.08768872160425E+003,3.99905091962902E+003
3.40000000000029E-005,3.38448562155227E+021,1.16297896330187E+022,1.16304313061466E+022,2.66447065607176E+022,3.97647728303169E+003,3.94989663505207E+003,3.97467356184245E+003,3.96408812802460E+003,3.75113736914382E+003,3.96394197760104E+003,0.00000000000000E+000,1.18302306591219E+001,8.09644572670806E+000,0.00000000000000E+000,3.80872595688788E+003,4.00127115870179E+003,0.00000000000000E+000,3.79874110019603E+003,3.96889723490558E+003,3.97467356184245E+003,3.94980489412326E+003
3.50000000000030E-005,3.34436143198300E+021,1.16699138225880E+022,1.16705554957159E+022,2.66848307502868E+022,4.06367687878112E+003,4.00792333138469E+003,3.88058624586776E+003,3.95922021155826E+003,3.76360795612073E+003,3.95028280399325E+003,0.00000000000000E+000,1.18471716450653E+001,8.08534488748041E+000,0.00000000000000E+000,3.89826112049647E+003,3.92517415738659E+003,0.00000000000000E+000,3.83668207044231E+003,3.95721168242214E+003,3.88058624586776E+003,3.90859394871609E+003
3.60000000000032E-005,3.29719151846273E+021,1.17170837361082E+022,1.17177254092362E+022,2.67320006638071E+022,3.69080577548565E+003,4.01273151330668E+003,3.89817181427151E+003,3.92280820607619E+003,3.75940931628428E+003,3.94962294053393E+003,0.00000000000000E+000,1.18414779846346E+001,8.08480706755733E+000,0.00000000000000E+000,3.63318836582873E+003,3.95700989177359E+003,0.00000000000000E+000,3.72665006426122E+003,3.96463816729727E+003,3.89817181427151E+003,3.90614921062701E+003
3.70000000000033E-005,3.28676163861555E+021,1.17275136159554E+022,1.17281552890833E+022,2.67424305436543E+022,3.73471231519070E+003,3.86601511711743E+003,3.99815878021770E+003,3.90783032860568E+003,3.75527334271405E+003,3.91240664142863E+003,0.00000000000000E+000,1.18358592994167E+001,8.05424084445325E+000,0.00000000000000E+000,3.77621171255198E+003,4.07140070674219E+003,0.00000000000000E+000,3.75533681187047E+003,3.93644263360678E+003,3.99815878021770E+003,3.94125015787702E+003
3.80000000000035E-005,3.24013933985224E+021,1.17741359147187E+022,1.17747775878467E+022,2.67890528424176E+022,3.84226651859419E+003,3.80737381507708E+003,4.11325725428301E+003,3.94604115459246E+003,3.75376935232487E+003,3.91161480527746E+003,0.00000000000000E+000,1.18338136742920E+001,8.05358548332240E+000,0.00000000000000E+000,3.65524624759778E+003,3.89919628003822E+003,0.00000000000000E+000,3.75208279128287E+003,3.88671165534934E+003,4.11325725428301E+003,3.97000343036406E+003
