  TIME     ,002-nPart-Spec-001,003-nPart-Spec-002,004 TempTra001     ,005 TempTra002     ,006 TempVib001     ,007 XiVibMean001     ,008 TempRot001     ,009 TempTotal001     ,010 TempTotal002     ,011 Pmean     ,012 Pmax                   
     0.88099999999997E-05,                   200000,                   200000,     0.99999495250140E+04,     0.99999495250140E+04,     0.99799884877037E+04,     0.73049010411901E+01,     0.75106038211532E+04,     0.95834890599685E+04,     0.95834890599685E+04,     0.44584675124122E-01,     0.77505608414003E-01 
     0.88119999999997E-05,                   200000,                   200000,     0.99999724592070E+04,     0.99999724592070E+04,     0.99800337586173E+04,     0.73049040660740E+01,     0.75106038211532E+04,     0.95835216243528E+04,     0.95835216243528E+04,     0.44572699646885E-01,     0.73333292197018E-01 
     0.88139999999997E-05,                   200000,                   200000,     0.99998083591529E+04,     0.99998083591529E+04,     0.99816725859359E+04,     0.73050135505288E+01,     0.75106038211532E+04,     0.95844580530267E+04,     0.95844580530267E+04,     0.44563403291061E-01,     0.74443124861594E-01 
     0.88159999999997E-05,                   200000,                   200000,     0.99999222217699E+04,     0.99999222217699E+04,     0.99810083579129E+04,     0.73049691798738E+01,     0.75106038211532E+04,     0.95840900551887E+04,     0.95840900551887E+04,     0.44568692717144E-01,     0.75181557409605E-01 
     0.88179999999997E-05,                   200000,                   200000,     0.99999834567864E+04,     0.99999834567864E+04,     0.99818812241979E+04,     0.73050274864674E+01,     0.75106038211532E+04,     0.95846250527916E+04,     0.95846250527916E+04,     0.44545385899696E-01,     0.74574432599213E-01 
     0.88199999999997E-05,                   200000,                   200000,     0.99999695082826E+04,     0.99999695082826E+04,     0.99815482404768E+04,     0.73050052446407E+01,     0.75106038211532E+04,     0.95844232544994E+04,     0.95844232544994E+04,     0.44593456934143E-01,     0.74847350432288E-01 
     0.88219999999997E-05,                   200000,                   200000,     0.99999025413684E+04,     0.99999025413684E+04,     0.99825749671264E+04,     0.73050738208344E+01,     0.75106038211532E+04,     0.95850186712075E+04,     0.95850186712075E+04,     0.44594713378225E-01,     0.72860506996283E-01 
     0.88239999999997E-05,                   200000,                   200000,     0.99998702784581E+04,     0.99998702784581E+04,     0.99835336907713E+04,     0.73051378428358E+01,     0.75106038211532E+04,     0.95855820352336E+04,     0.95855820352336E+04,     0.44604910240451E-01,     0.72285774481017E-01 
     0.88259999999997E-05,                   200000,                   200000,     0.99999874325365E+04,     0.99999874325365E+04,     0.99840665880489E+04,     0.73051734237545E+01,     0.75106038211532E+04,     0.95859281115224E+04,     0.95859281115224E+04,     0.44574187330025E-01,     0.72010479720931E-01 
     0.88279999999997E-05,                   200000,                   200000,     0.99999100052826E+04,     0.99999100052826E+04,     0.99834795571031E+04,     0.73051342281914E+01,     0.75106038211532E+04,     0.95855594664678E+04,     0.95855594664678E+04,     0.44557529485656E-01,     0.72654896549829E-01 
     0.88299999999997E-05,                   200000,                   200000,     0.99999642732970E+04,     0.99999642732970E+04,     0.99850318184097E+04,     0.73052378617784E+01,     0.75106038211532E+04,     0.95864975775493E+04,     0.95864975775493E+04,     0.44625249250261E-01,     0.71094703954759E-01 
     0.88319999999997E-05,                   200000,                   200000,     0.99999864025480E+04,     0.99999864025480E+04,     0.99839744172420E+04,     0.73051672698793E+01,     0.75106038211532E+04,     0.95858729425671E+04,     0.95858729425671E+04,     0.44586097710152E-01,     0.71714787652007E-01 
     0.88339999999997E-05,                   200000,                   200000,     0.99999618686166E+04,     0.99999618686166E+04,     0.99836698624398E+04,     0.73051469352025E+01,     0.75106038211532E+04,     0.95856854994873E+04,     0.95856854994873E+04,     0.44590393610255E-01,     0.74335309335077E-01 
     0.88359999999997E-05,                   200000,                   200000,     0.99999576446387E+04,     0.99999576446387E+04,     0.99834012372262E+04,     0.73051289985052E+01,     0.75106038211532E+04,     0.95855244160646E+04,     0.95855244160646E+04,     0.44589277481680E-01,     0.72645098893238E-01 
     0.88379999999997E-05,                   200000,                   200000,     0.99999832925241E+04,     0.99999832925241E+04,     0.99840170376121E+04,     0.73051701154841E+01,     0.75106038211532E+04,     0.95858975787013E+04,     0.95858975787013E+04,     0.44618669214591E-01,     0.71946829034908E-01 
     0.88399999999997E-05,                   200000,                   200000,     0.99999276068550E+04,     0.99999276068550E+04,     0.99837099611123E+04,     0.73051496125999E+01,     0.75106038211532E+04,     0.95857010382728E+04,     0.95857010382728E+04,     0.44546569144528E-01,     0.74149753089010E-01 
     0.88419999999997E-05,                   200000,                   200000,     0.99999546000677E+04,     0.99999546000677E+04,     0.99836630059993E+04,     0.73051464773944E+01,     0.75106038211532E+04,     0.95856796421699E+04,     0.95856796421699E+04,     0.44590018746617E-01,     0.74978821846181E-01 
     0.88439999999997E-05,                   200000,                   200000,     0.99999801312042E+04,     0.99999801312042E+04,     0.99833355442437E+04,     0.73051246118994E+01,     0.75106038211532E+04,     0.95854907568317E+04,     0.95854907568317E+04,     0.44595921515609E-01,     0.75307577824920E-01 
     0.88459999999997E-05,                   200000,                   200000,     0.99999933781863E+04,     0.99999933781863E+04,     0.99836813849410E+04,     0.73051477045646E+01,     0.75106038211532E+04,     0.95857000469338E+04,     0.95857000469338E+04,     0.44569706764175E-01,     0.71926241408290E-01 
     0.88479999999997E-05,                   200000,                   200000,     0.99999892310899E+04,     0.99999892310899E+04,     0.99836032031133E+04,     0.73051424842987E+01,     0.75106038211532E+04,     0.95856524531533E+04,     0.95856524531533E+04,     0.44585963788263E-01,     0.73181455805617E-01 
     0.88499999999997E-05,                   200000,                   200000,     0.99999590488111E+04,     0.99999590488111E+04,     0.99837142222290E+04,     0.73051498971144E+01,     0.75106038211532E+04,     0.95857112427160E+04,     0.95857112427160E+04,     0.44594000280624E-01,     0.70886587319327E-01 
     0.88519999999997E-05,                   200000,                   200000,     0.99999929044627E+04,     0.99999929044627E+04,     0.99821474289499E+04,     0.73050452667347E+01,     0.75106038211532E+04,     0.95847859659837E+04,     0.95847859659837E+04,     0.44575361474878E-01,     0.74333277206068E-01 
     0.88539999999997E-05,                   200000,                   200000,     0.99999590343177E+04,     0.99999590343177E+04,     0.99827537499618E+04,     0.73050857605540E+01,     0.75106038211532E+04,     0.95851389669561E+04,     0.95851389669561E+04,     0.44620541036485E-01,     0.72130253242571E-01 
     0.88559999999997E-05,                   200000,                   200000,     0.99999908803678E+04,     0.99999908803678E+04,     0.99838889188099E+04,     0.73051615613946E+01,     0.75106038211532E+04,     0.95858230920265E+04,     0.95858230920265E+04,     0.44580542225909E-01,     0.73861540978290E-01 
     0.88579999999997E-05,                   200000,                   200000,     0.99999726018940E+04,     0.99999726018940E+04,     0.99837836885546E+04,     0.73051545353441E+01,     0.75106038211532E+04,     0.95857559367928E+04,     0.95857559367928E+04,     0.44607868151524E-01,     0.71740575112920E-01 
     0.88599999999997E-05,                   200000,                   200000,     0.99999788907896E+04,     0.99999788907896E+04,     0.99856235798393E+04,     0.73052773614085E+01,     0.75106038211532E+04,     0.95868537317162E+04,     0.95868537317162E+04,     0.44578388521483E-01,     0.70756019906135E-01 
     0.88619999999997E-05,                   200000,                   200000,     0.99999875099443E+04,     0.99999875099443E+04,     0.99860868175225E+04,     0.73053082790463E+01,     0.75106038211532E+04,     0.95871318458837E+04,     0.95871318458837E+04,     0.44622558724584E-01,     0.72281092535807E-01 
     0.88639999999997E-05,                   200000,                   200000,     0.99998908162737E+04,     0.99998908162737E+04,     0.99855456465000E+04,     0.73052721596731E+01,     0.75106038211532E+04,     0.95867858240677E+04,     0.95867858240677E+04,     0.44574976069254E-01,     0.72423292017938E-01 
     0.88659999999997E-05,                   200000,                   200000,     0.99999598138086E+04,     0.99999598138086E+04,     0.99858541403042E+04,     0.73052927499321E+01,     0.75106038211532E+04,     0.95869864564926E+04,     0.95869864564926E+04,     0.44581822135855E-01,     0.73935817444490E-01 
     0.88679999999997E-05,                   200000,                   200000,     0.99999127114962E+04,     0.99999127114962E+04,     0.99851556668920E+04,     0.73052461289424E+01,     0.75106038211532E+04,     0.95865587996478E+04,     0.95865587996478E+04,     0.44600372768928E-01,     0.73942014699159E-01 
     0.88699999999997E-05,                   200000,                   200000,     0.99999858709240E+04,     0.99999858709240E+04,     0.99852979771454E+04,     0.73052556282286E+01,     0.75106038211532E+04,     0.95866614287591E+04,     0.95866614287591E+04,     0.44610462361525E-01,     0.72922524539447E-01 
     0.88719999999997E-05,                   200000,                   200000,     0.99998882855773E+04,     0.99998882855773E+04,     0.99848497868180E+04,     0.73052257104047E+01,     0.75106038211532E+04,     0.95863705918443E+04,     0.95863705918443E+04,     0.44582305074964E-01,     0.74663725921683E-01 
     0.88739999999997E-05,                   200000,                   200000,     0.99999491029638E+04,     0.99999491029638E+04,     0.99850332909339E+04,     0.73052379600738E+01,     0.75106038211532E+04,     0.95864947564184E+04,     0.95864947564184E+04,     0.44596567253819E-01,     0.73778649011100E-01 
     0.88759999999997E-05,                   200000,                   200000,     0.99999396272852E+04,     0.99999396272852E+04,     0.99848286560968E+04,     0.73052242998128E+01,     0.75106038211532E+04,     0.95863705185725E+04,     0.95863705185725E+04,     0.44578592467393E-01,     0.72481407283903E-01 
     0.88779999999997E-05,                   200000,                   200000,     0.99999519299530E+04,     0.99999519299530E+04,     0.99846606042810E+04,     0.73052130812257E+01,     0.75106038211532E+04,     0.95862733876696E+04,     0.95862733876696E+04,     0.44578994420299E-01,     0.75965735952595E-01 
     0.88799999999997E-05,                   200000,                   200000,     0.99999069468602E+04,     0.99999069468602E+04,     0.99848397092311E+04,     0.73052250376710E+01,     0.75106038211532E+04,     0.95863691369126E+04,     0.95863691369126E+04,     0.44617900310604E-01,     0.76103134056001E-01 
     0.88819999999997E-05,                   200000,                   200000,     0.99999105203240E+04,     0.99999105203240E+04,     0.99840245566884E+04,     0.73051706175026E+01,     0.75106038211532E+04,     0.95858843169102E+04,     0.95858843169102E+04,     0.44606482657323E-01,     0.72421115947312E-01 
     0.88839999999997E-05,                   200000,                   200000,     0.99999774919303E+04,     0.99999774919303E+04,     0.99843409008869E+04,     0.73051917378788E+01,     0.75106038211532E+04,     0.95860891311683E+04,     0.95860891311683E+04,     0.44517439499065E-01,     0.74712329492349E-01 
     0.88859999999997E-05,                   200000,                   200000,     0.99999419584396E+04,     0.99999419584396E+04,     0.99848134430820E+04,     0.73052232842568E+01,     0.75106038211532E+04,     0.95863620225330E+04,     0.95863620225330E+04,     0.44588034364451E-01,     0.72209494687418E-01 
     0.88879999999997E-05,                   200000,                   200000,     0.99999843270709E+04,     0.99999843270709E+04,     0.99851091811460E+04,     0.73052430259376E+01,     0.75106038211532E+04,     0.95865485617520E+04,     0.95865485617520E+04,     0.44576962399155E-01,     0.73823588684023E-01 
     0.88899999999997E-05,                   200000,                   200000,     0.99999608835394E+04,     0.99999608835394E+04,     0.99858550146154E+04,     0.73052928082858E+01,     0.75106038211532E+04,     0.95869872382349E+04,     0.95869872382349E+04,     0.44568891152132E-01,     0.72137768317743E-01 
     0.88919999999997E-05,                   200000,                   200000,     0.99999899662279E+04,     0.99999899662279E+04,     0.99845346390454E+04,     0.73052046719632E+01,     0.75106038211532E+04,     0.95862076071184E+04,     0.95862076071184E+04,     0.44593054714452E-01,     0.71835371808661E-01 
     0.88939999999997E-05,                   200000,                   200000,     0.99999867376236E+04,     0.99999867376236E+04,     0.99851130005054E+04,     0.73052432808876E+01,     0.75106038211532E+04,     0.95865514251347E+04,     0.95865514251347E+04,     0.44578767308983E-01,     0.73225370822005E-01 
     0.88959999999997E-05,                   200000,                   200000,     0.99999843334127E+04,     0.99999843334127E+04,     0.99846595827174E+04,     0.73052130130284E+01,     0.75106038211532E+04,     0.95862806789266E+04,     0.95862806789266E+04,     0.44583486941219E-01,     0.72814585483237E-01 
     0.88979999999997E-05,                   200000,                   200000,     0.99998916730469E+04,     0.99998916730469E+04,     0.99850192099219E+04,     0.73052370201225E+01,     0.75106038211532E+04,     0.95864723651807E+04,     0.95864723651807E+04,     0.44591096000826E-01,     0.72002622890043E-01 
     0.88999999999997E-05,                   200000,                   200000,     0.99999555319553E+04,     0.99999555319553E+04,     0.99847132194087E+04,     0.73052165936776E+01,     0.75106038211532E+04,     0.95863056154832E+04,     0.95863056154832E+04,     0.44561578758878E-01,     0.75316860025152E-01 
     0.89019999999997E-05,                   200000,                   200000,     0.99999444826848E+04,     0.99999444826848E+04,     0.99857767591614E+04,     0.73052875852823E+01,     0.75106038211532E+04,     0.95869366124820E+04,     0.95869366124820E+04,     0.44608022329180E-01,     0.73819152674290E-01 
     0.89039999999997E-05,                   200000,                   200000,     0.99999695350461E+04,     0.99999695350461E+04,     0.99844902608496E+04,     0.73052017092887E+01,     0.75106038211532E+04,     0.95861761842015E+04,     0.95861761842015E+04,     0.44574788906284E-01,     0.72646749843391E-01 
     0.89059999999997E-05,                   200000,                   200000,     0.99999804691339E+04,     0.99999804691339E+04,     0.99840857860822E+04,     0.73051747055165E+01,     0.75106038211532E+04,     0.95859378525542E+04,     0.95859378525542E+04,     0.44593863528299E-01,     0.72362180878386E-01 
     0.89079999999997E-05,                   200000,                   200000,     0.99999228252060E+04,     0.99999228252060E+04,     0.99848769456849E+04,     0.73052275234001E+01,     0.75106038211532E+04,     0.95863951946424E+04,     0.95863951946424E+04,     0.44583728549027E-01,     0.75236148226513E-01 
     0.89099999999997E-05,                   200000,                   200000,     0.99999539000924E+04,     0.99999539000924E+04,     0.99838253701907E+04,     0.73051573183751E+01,     0.75106038211532E+04,     0.95857762122936E+04,     0.95857762122936E+04,     0.44604019055620E-01,     0.72698977765730E-01 
     0.89119999999997E-05,                   200000,                   200000,     0.99999430286879E+04,     0.99999430286879E+04,     0.99833050077746E+04,     0.73051225728278E+01,     0.75106038211532E+04,     0.95854635168403E+04,     0.95854635168403E+04,     0.44572629621869E-01,     0.73944541306862E-01 
     0.89139999999997E-05,                   200000,                   200000,     0.99999122203895E+04,     0.99999122203895E+04,     0.99844027192903E+04,     0.73051958649675E+01,     0.75106038211532E+04,     0.95861100511557E+04,     0.95861100511557E+04,     0.44582268112555E-01,     0.71924040800804E-01 
     0.89159999999997E-05,                   200000,                   200000,     0.99999302235924E+04,     0.99999302235924E+04,     0.99842257679069E+04,     0.73051840512991E+01,     0.75106038211532E+04,     0.95860090077168E+04,     0.95860090077168E+04,     0.44581734310898E-01,     0.76255309708212E-01 
     0.89179999999997E-05,                   200000,                   200000,     0.99999533823053E+04,     0.99999533823053E+04,     0.99847425594519E+04,     0.73052185523288E+01,     0.75106038211532E+04,     0.95863225730706E+04,     0.95863225730706E+04,     0.44614122767162E-01,     0.72729011371624E-01 
     0.89199999999997E-05,                   200000,                   200000,     0.99999680302142E+04,     0.99999680302142E+04,     0.99845397836766E+04,     0.73052050154156E+01,     0.75106038211532E+04,     0.95862053244544E+04,     0.95862053244544E+04,     0.44564371866412E-01,     0.72418996061122E-01 
     0.89219999999997E-05,                   200000,                   200000,     0.99999885009733E+04,     0.99999885009733E+04,     0.99845031638422E+04,     0.73052025706911E+01,     0.75106038211532E+04,     0.95861884960562E+04,     0.95861884960562E+04,     0.44566919698650E-01,     0.74762656039993E-01 
     0.89239999999997E-05,                   200000,                   200000,     0.99999564035598E+04,     0.99999564035598E+04,     0.99829584860349E+04,     0.73050994330150E+01,     0.75106038211532E+04,     0.95852603118894E+04,     0.95852603118894E+04,     0.44578940952530E-01,     0.74325320826766E-01 
     0.89259999999997E-05,                   200000,                   200000,     0.99999485272086E+04,     0.99999485272086E+04,     0.99819225837193E+04,     0.73050302489996E+01,     0.75106038211532E+04,     0.95846411796316E+04,     0.95846411796316E+04,     0.44604591637996E-01,     0.71605112886714E-01 
     0.89279999999997E-05,                   200000,                   200000,     0.99999520297629E+04,     0.99999520297629E+04,     0.99830367138790E+04,     0.73051046569997E+01,     0.75106038211532E+04,     0.95853058554896E+04,     0.95853058554896E+04,     0.44596747444554E-01,     0.72762298758196E-01 
     0.89299999999997E-05,                   200000,                   200000,     0.99999865605590E+04,     0.99999865605590E+04,     0.99816788533667E+04,     0.73050139691683E+01,     0.75106038211532E+04,     0.95845052333208E+04,     0.95845052333208E+04,     0.44575012938653E-01,     0.72241905348719E-01 
     0.89319999999997E-05,                   200000,                   200000,     0.99998180676897E+04,     0.99998180676897E+04,     0.99828586304926E+04,     0.73050927646383E+01,     0.75106038211532E+04,     0.95851670892187E+04,     0.95851670892187E+04,     0.44616912859851E-01,     0.73059976952158E-01 
     0.89339999999997E-05,                   200000,                   200000,     0.99999331171858E+04,     0.99999331171858E+04,     0.99838057027903E+04,     0.73051560052100E+01,     0.75106038211532E+04,     0.95857594270654E+04,     0.95857594270654E+04,     0.44589871542882E-01,     0.72200505816455E-01 
