001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-NumDens-Spec-007,009-TempTra-001,010-TempTra-002,011-TempTra-003,012-TempTra-004,013-TempTra-005,014-TempTra-006,015-TempTra-007
0.3899999999999990E-006,0.4985100000000001E+021,0.3497710000000000E+022,0.0000000000000000E+000,0.1600000000000000E+018,0.1200000000000000E+018,0.6100000000000001E+018,0.3997110000000001E+022,0.4015253243169682E+003,0.3996959292875655E+003,0.0000000000000000E+000,0.2083433752764439E+003,0.1460994409416712E+003,0.3887642197211841E+003,0.3999071457379582E+003
0.3999999999999989E-006,0.4985200000000001E+021,0.3497820000000001E+022,0.0000000000000000E+000,0.1600000000000000E+018,0.1000000000000000E+018,0.5700000000000001E+018,0.3997170000000001E+022,0.4015279045988814E+003,0.3996957335572856E+003,0.0000000000000000E+000,0.2083433752764439E+003,0.1340112181140142E+003,0.3606036861186287E+003,0.3999043578118826E+003
0.4099999999999989E-006,0.4985200000000001E+021,0.3497910000000001E+022,0.0000000000000000E+000,0.1500000000000000E+018,0.8000000000000002E+017,0.5400000000000001E+018,0.3997200000000001E+022,0.4015296502687572E+003,0.3996945942879203E+003,0.0000000000000000E+000,0.1904862166247247E+003,0.1101201764018029E+003,0.3679262397235936E+003,0.3999055194320266E+003
0.4199999999999988E-006,0.4985300000000001E+021,0.3498000000000001E+022,0.0000000000000000E+000,0.1400000000000000E+018,0.8000000000000002E+017,0.5100000000000001E+018,0.3997260000000001E+022,0.4015376447288084E+003,0.3996965789257155E+003,0.0000000000000000E+000,0.1891213386299289E+003,0.1101201764018029E+003,0.3529751556614469E+003,0.3999070610967797E+003
0.4299999999999988E-006,0.4985800000000001E+021,0.3498050000000001E+022,0.0000000000000000E+000,0.1400000000000000E+018,0.8000000000000002E+017,0.4600000000000001E+018,0.3997310000000001E+022,0.4015594562628517E+003,0.3996963504713378E+003,0.0000000000000000E+000,0.1891213386299289E+003,0.1101201764018029E+003,0.3293808956352235E+003,0.3999074713453068E+003
0.4399999999999988E-006,0.4985900000000001E+021,0.3498220000000001E+022,0.0000000000000000E+000,0.1000000000000000E+018,0.8000000000000002E+017,0.4100000000000001E+018,0.3997400000000001E+022,0.4015628435091231E+003,0.3996999209928456E+003,0.0000000000000000E+000,0.1320110568174006E+003,0.1101201764018029E+003,0.2895785799059902E+003,0.3999084939456550E+003
0.4499999999999987E-006,0.4986100000000001E+021,0.3498290000000001E+022,0.0000000000000000E+000,0.9000000000000002E+017,0.8000000000000002E+017,0.3800000000000001E+018,0.3997450000000001E+022,0.4015632417755527E+003,0.3997027556650541E+003,0.0000000000000000E+000,0.1188187903399465E+003,0.1101201764018029E+003,0.2891762745781014E+003,0.3999121918690146E+003
0.4599999999999987E-006,0.4986200000000001E+021,0.3498300000000001E+022,0.0000000000000000E+000,0.9000000000000002E+017,0.8000000000000002E+017,0.3700000000000001E+018,0.3997460000000001E+022,0.4015707837169014E+003,0.3997021703249511E+003,0.0000000000000000E+000,0.1188187903399465E+003,0.1101201764018029E+003,0.2840540463797116E+003,0.3999124268728395E+003
0.4699999999999986E-006,0.4986200000000001E+021,0.3498320000000001E+022,0.0000000000000000E+000,0.9000000000000002E+017,0.6000000000000001E+017,0.3700000000000001E+018,0.3997460000000001E+022,0.4015706025647703E+003,0.3997022827373117E+003,0.0000000000000000E+000,0.1188187903399465E+003,0.9668064037436430E+002,0.2840540463797116E+003,0.3999137497618867E+003
0.4799999999999987E-006,0.4986600000000001E+021,0.3498400000000001E+022,0.0000000000000000E+000,0.9000000000000002E+017,0.5000000000000001E+017,0.3200000000000001E+018,0.3997520000000001E+022,0.4015823430692815E+003,0.3997036428006425E+003,0.0000000000000000E+000,0.1188187903399465E+003,0.8711831959454027E+002,0.2582180836578897E+003,0.3999164368314796E+003
0.4899999999999989E-006,0.4986800000000001E+021,0.3498460000000001E+022,0.0000000000000000E+000,0.8000000000000002E+017,0.2000000000000000E+017,0.2900000000000001E+018,0.3997530000000001E+022,0.4015783318770102E+003,0.3997030079259412E+003,0.0000000000000000E+000,0.8171372387689790E+002,0.3397193740725112E+001,0.2195893984258321E+003,0.3999155362477190E+003
0.4999999999999991E-006,0.4986900000000001E+021,0.3498530000000001E+022,0.0000000000000000E+000,0.8000000000000002E+017,0.2000000000000000E+017,0.2600000000000000E+018,0.3997580000000001E+022,0.4015799656381352E+003,0.3997011839503625E+003,0.0000000000000000E+000,0.8171372387689790E+002,0.3397193740725112E+001,0.2229706566362423E+003,0.3999157173996402E+003
0.5099999999999994E-006,0.4986900000000001E+021,0.3498550000000001E+022,0.0000000000000000E+000,0.7000000000000001E+017,0.2000000000000000E+017,0.2600000000000000E+018,0.3997590000000001E+022,0.4015808520870898E+003,0.3996998772521074E+003,0.0000000000000000E+000,0.7119778951242949E+002,0.3397193740725112E+001,0.2229706566362423E+003,0.3999152951772285E+003
0.5199999999999996E-006,0.4986900000000001E+021,0.3498610000000001E+022,0.0000000000000000E+000,0.7000000000000001E+017,0.2000000000000000E+017,0.2400000000000000E+018,0.3997630000000001E+022,0.4015815342375770E+003,0.3996986599073548E+003,0.0000000000000000E+000,0.7119778951242949E+002,0.3397193740725112E+001,0.1959141525828005E+003,0.3999135725500279E+003
0.5299999999999998E-006,0.4986900000000001E+021,0.3498610000000001E+022,0.0000000000000000E+000,0.7000000000000001E+017,0.2000000000000000E+017,0.2400000000000000E+018,0.3997630000000001E+022,0.4015826106547927E+003,0.3996989675389743E+003,0.0000000000000000E+000,0.7119778951242949E+002,0.3397193740725112E+001,0.1959141525828005E+003,0.3999139760594977E+003
0.5400000000000000E-006,0.4987000000000001E+021,0.3498620000000001E+022,0.0000000000000000E+000,0.7000000000000001E+017,0.2000000000000000E+017,0.2300000000000000E+018,0.3997640000000001E+022,0.4015869502893740E+003,0.3996989698749806E+003,0.0000000000000000E+000,0.7119778951242949E+002,0.3397193740725112E+001,0.1882386427615083E+003,0.3999145918017358E+003
0.5500000000000002E-006,0.4987000000000001E+021,0.3498680000000000E+022,0.0000000000000000E+000,0.6000000000000001E+017,0.2000000000000000E+017,0.2100000000000000E+018,0.3997670000000001E+022,0.4015858804477839E+003,0.3997011637394583E+003,0.0000000000000000E+000,0.8097062914555873E+002,0.3397193740725112E+001,0.1809143175614412E+003,0.3999180183255720E+003
0.5600000000000005E-006,0.4987100000000001E+021,0.3498690000000001E+022,0.0000000000000000E+000,0.5000000000000001E+017,0.2000000000000000E+017,0.2000000000000000E+018,0.3997670000000001E+022,0.4015880543702724E+003,0.3997029076293898E+003,0.0000000000000000E+000,0.7607447229993774E+002,0.3397193740725112E+001,0.1747549881394962E+003,0.3999207956519638E+003
0.5700000000000007E-006,0.4987100000000001E+021,0.3498710000000001E+022,0.0000000000000000E+000,0.4000000000000001E+017,0.2000000000000000E+017,0.2000000000000000E+018,0.3997680000000001E+022,0.4015880995479430E+003,0.3997013516416554E+003,0.0000000000000000E+000,0.7308275453298151E+002,0.3397193740725112E+001,0.1747549881394962E+003,0.3999202185716254E+003
0.5800000000000009E-006,0.4987400000000001E+021,0.3498740000000000E+022,0.0000000000000000E+000,0.3000000000000000E+017,0.1000000000000000E+017,0.1700000000000000E+018,0.3997690000000000E+022,0.4015743726943461E+003,0.3997023285069961E+003,0.0000000000000000E+000,0.7996275355716811E+002,0.0000000000000000E+000,0.1647074701531250E+003,0.3999224868938508E+003
0.5900000000000011E-006,0.4987500000000001E+021,0.3498750000000000E+022,0.0000000000000000E+000,0.3000000000000000E+017,0.1000000000000000E+017,0.1600000000000000E+018,0.3997700000000000E+022,0.4015797820231904E+003,0.3997024153713987E+003,0.0000000000000000E+000,0.7996275355716811E+002,0.0000000000000000E+000,0.1579195263093848E+003,0.3999235580637775E+003
