  TIME     ,002-W-El      ,003 -W-Mag                  
    0.18692453228456E-008,    0.64808013482094E+012,    0.35603045701918E+012 
    0.18811527930216E-008,    0.67703766734709E+012,    0.34719424691749E+012 
    0.18930602631975E-008,    0.70604122334834E+012,    0.33867770700884E+012 
    0.19049677333735E-008,    0.73489936705414E+012,    0.33053720120216E+012 
    0.19168752035495E-008,    0.76342078334047E+012,    0.32282686251315E+012 
    0.19287826737254E-008,    0.79141561769772E+012,    0.31559822042587E+012 
    0.19406901439014E-008,    0.81869681217550E+012,    0.30889984239907E+012 
    0.19525976140774E-008,    0.84508142757037E+012,    0.30277699219929E+012 
    0.19645050842533E-008,    0.87039194217988E+012,    0.29727130766040E+012 
    0.19764125544293E-008,    0.89445751757753E+012,    0.29242050036602E+012 
    0.19883200246053E-008,    0.91711522206658E+012,    0.28825807962668E+012 
    0.20000000000000E-008,    0.93782368496155E+012,    0.28487203964839E+012 
    0.20119074701760E-008,    0.95724810336208E+012,    0.28215452076785E+012 
    0.20238149403519E-008,    0.97483711184520E+012,    0.28019802484676E+012 
    0.20357224105279E-008,    0.99047024253631E+012,    0.27901714939198E+012 
    0.20476298807039E-008,    0.10040400967420E+013,    0.27862134780252E+012 
    0.20595373508798E-008,    0.10154531400743E+013,    0.27901483877575E+012 
    0.20714448210558E-008,    0.10246304012898E+013,    0.28019655148423E+012 
    0.20833522912318E-008,    0.10315080694336E+013,    0.28216010724242E+012 
    0.20952597614077E-008,    0.10360379846100E+013,    0.28489383811429E+012 
    0.21071672315837E-008,    0.10381880184648E+013,    0.28838084263735E+012 
    0.21190747017597E-008,    0.10379423412663E+013,    0.29259907855892E+012 
    0.21309821719356E-008,    0.10353015732937E+013,    0.29752149219795E+012 
    0.21428896421116E-008,    0.10302828190843E+013,    0.30311618376423E+012 
    0.21547971122876E-008,    0.10229195839514E+013,    0.30934660768777E+012 
    0.21667045824635E-008,    0.10132615730442E+013,    0.31617180673772E+012 
    0.21786120526395E-008,    0.10013743740900E+013,    0.32354667844445E+012 
    0.21905195228155E-008,    0.98733902581214E+012,    0.33142227208304E+012 
    0.22024269929914E-008,    0.97125147486719E+012,    0.33974611423349E+012 
    0.22143344631674E-008,    0.95322192496875E+012,    0.34846256070462E+012 
    0.22262419333434E-008,    0.93337408266597E+012,    0.35751317239724E+012 
    0.22381494035193E-008,    0.91184430501522E+012,    0.36683711248899E+012 
    0.22500568736953E-008,    0.88878065511400E+012,    0.37637156215044E+012 
    0.22619643438713E-008,    0.86434187215475E+012,    0.38605215185092E+012 
    0.22738718140472E-008,    0.83869626329581E+012,    0.39581340518424E+012 
    0.22857792842232E-008,    0.81202052523310E+012,    0.40558919203996E+012 
    0.22976867543992E-008,    0.78449850388461E+012,    0.41531318786635E+012 
    0.23095942245751E-008,    0.75631990106590E+012,    0.42491933571625E+012 
    0.23215016947511E-008,    0.72767893743619E+012,    0.43434230773831E+012 
    0.23334091649271E-008,    0.69877298132704E+012,    0.44351796277243E+012 
    0.23453166351031E-008,    0.66980115332746E+012,    0.45238379672994E+012 
    0.23572241052790E-008,    0.64096291668863E+012,    0.46087938248640E+012 
    0.23691315754550E-008,    0.61245666372605E+012,    0.46894679608585E+012 
    0.23810390456310E-008,    0.58447830843766E+012,    0.47653102615122E+012 
    0.23929465158069E-008,    0.55721989552146E+012,    0.48358036351339E+012 
    0.24048539859829E-008,    0.53086823586682E+012,    0.49004676821203E+012 
    0.24167614561589E-008,    0.50560357841047E+012,    0.49588621118234E+012 
    0.24286689263348E-008,    0.48159832799269E+012,    0.50105898812250E+012 
    0.24405763965108E-008,    0.45901581852299E+012,    0.50553000323591E+012 
    0.24524838666868E-008,    0.43800915037070E+012,    0.50926902075787E+012 
    0.24643913368627E-008,    0.41872010043661E+012,    0.51225088240773E+012 
    0.24762988070387E-008,    0.40127811284074E+012,    0.51445568915220E+012 
    0.24882062772147E-008,    0.38579937758248E+012,    0.51586894592206E+012 
    0.25001137473906E-008,    0.37238600389640E+012,    0.51648166819131E+012 
    0.25120212175666E-008,    0.36112529434511E+012,    0.51629044960266E+012 
    0.25239286877426E-008,    0.35208912496436E+012,    0.51529749010387E+012 
    0.25358361579185E-008,    0.34533343600995E+012,    0.51351058434495E+012 
    0.25477436280945E-008,    0.34089783705762E+012,    0.51094307037293E+012 
    0.25596510982705E-008,    0.33880532938043E+012,    0.50761373894766E+012 
    0.25715585684464E-008,    0.33906214767985E+012,    0.50354670408713E+012 
    0.25834660386224E-008,    0.34165772238328E+012,    0.49877123573015E+012 
    0.25953735087984E-008,    0.34656476284775E+012,    0.49332155567853E+012 
    0.26072809789743E-008,    0.35373946093331E+012,    0.48723659824513E+012 
    0.26191884491503E-008,    0.36312181353766E+012,    0.48055973728869E+012 
    0.26310959193263E-008,    0.37463606182048E+012,    0.47333848155828E+012 
    0.26430033895022E-008,    0.38819124399947E+012,    0.46562414049725E+012 
    0.26549108596782E-008,    0.40368185777563E+012,    0.45747146286845E+012 
    0.26668183298542E-008,    0.42098862764883E+012,    0.44893825075657E+012 
    0.26787258000301E-008,    0.43997937162252E+012,    0.44008495167887E+012 
    0.26906332702061E-008,    0.46050996107313E+012,    0.43097423169100E+012 
    0.27025407403821E-008,    0.48242536688138E+012,    0.42167053250960E+012 
    0.27144482105580E-008,    0.50556078429373E+012,    0.41223961578628E+012 
    0.27263556807340E-008,    0.52974282840713E+012,    0.40274809775844E+012 
    0.27382631509100E-008,    0.55479079165350E+012,    0.39326297757070E+012 
    0.27501706210859E-008,    0.58051795420503E+012,    0.38385116260576E+012 
    0.27620780912619E-008,    0.60673293783205E+012,    0.37457899418598E+012 
    0.27739855614379E-008,    0.63324109342264E+012,    0.36551177700575E+012 
    0.27858930316138E-008,    0.65984591212227E+012,    0.35671331563146E+012 
    0.27978005017898E-008,    0.68635044987192E+012,    0.34824546135906E+012 
    0.28097079719658E-008,    0.71255875501785E+012,    0.34016767265116E+012 
    0.28216154421417E-008,    0.73827728863506E+012,    0.33253659228496E+012 
    0.28335229123177E-008,    0.76331632725025E+012,    0.32540564423111E+012 
    0.28454303824937E-008,    0.78749133776901E+012,    0.31882465315126E+012 
    0.28573378526696E-008,    0.81062431460478E+012,    0.31283948925052E+012 
    0.28692453228456E-008,    0.83254506927330E+012,    0.30749174104983E+012 
    0.28811527930216E-008,    0.85309246305333E+012,    0.30281841845422E+012 
    0.28930602631975E-008,    0.87211557372121E+012,    0.29885168828676E+012 
    0.29049677333735E-008,    0.88947478783943E+012,    0.29561864423529E+012 
    0.29168752035495E-008,    0.90504281061560E+012,    0.29314111292202E+012 
    0.29287826737254E-008,    0.91870558594362E+012,    0.29143549755495E+012 
    0.29406901439014E-008,    0.93036311988956E+012,    0.29051266035725E+012 
    0.29525976140774E-008,    0.93993020158601E+012,    0.29037784469710E+012 
    0.29645050842534E-008,    0.94733701624544E+012,    0.29103063755852E+012 
    0.29764125544293E-008,    0.95252964578985E+012,    0.29246497270471E+012 
    0.29883200246053E-008,    0.95547045341513E+012,    0.29466917459160E+012 
    0.30000000000000E-008,    0.95614703755447E+012,    0.29756262938260E+012 
    0.30119074701760E-008,    0.95458125412998E+012,    0.30123585686864E+012 
    0.30238149403519E-008,    0.95075006092660E+012,    0.30561189012901E+012 
    0.30357224105279E-008,    0.94468207317095E+012,    0.31065795011043E+012 
    0.30476298807039E-008,    0.93642230634519E+012,    0.31633645575098E+012 
    0.30595373508798E-008,    0.92603183802404E+012,    0.32260529647802E+012 
    0.30714448210558E-008,    0.91358735235206E+012,    0.32941813775391E+012 
    0.30833522912318E-008,    0.89918057049524E+012,    0.33672475748568E+012 
    0.30952597614077E-008,    0.88291757123915E+012,    0.34447141088133E+012 
    0.31071672315837E-008,    0.86491800671288E+012,    0.35260122111948E+012 
    0.31190747017597E-008,    0.84531421898894E+012,    0.36105459300274E+012 
    0.31309821719356E-008,    0.82425026403727E+012,    0.36976964658994E+012 
    0.31428896421116E-008,    0.80188085019200E+012,    0.37868266764927E+012 
    0.31547971122876E-008,    0.77837019891728E+012,    0.38772857164515E+012 
    0.31667045824635E-008,    0.75389083622888E+012,    0.39684137786727E+012 
    0.31786120526395E-008,    0.72862232363708E+012,    0.40595469023074E+012 
    0.31905195228155E-008,    0.70274993791997E+012,    0.41500218122341E+012 
    0.32024269929914E-008,    0.67646330941156E+012,    0.42391807544970E+012 
    0.32143344631674E-008,    0.64995502879313E+012,    0.43263762921999E+012 
    0.32262419333434E-008,    0.62341923260686E+012,    0.44109760266128E+012 
    0.32381494035193E-008,    0.59705017786644E+012,    0.44923672087765E+012 
    0.32500568736953E-008,    0.57104081621862E+012,    0.45699612076764E+012 
    0.32619643438713E-008,    0.54558137811231E+012,    0.46431978021036E+012 
    0.32738718140472E-008,    0.52085797735750E+012,    0.47115492646029E+012 
    0.32857792842232E-008,    0.49705124630576E+012,    0.47745242074360E+012 
    0.32976867543992E-008,    0.47433501165811E+012,    0.48316711622345E+012 
    0.33095942245751E-008,    0.45287502060697E+012,    0.48825818669767E+012 
    0.33215016947511E-008,    0.43282772664812E+012,    0.49268942360781E+012 
    0.33334091649271E-008,    0.41433914395926E+012,    0.49642949917213E+012 
    0.33453166351031E-008,    0.39754377873757E+012,    0.49945219370480E+012 
    0.33572241052790E-008,    0.38256364532211E+012,    0.50173658544727E+012 
    0.33691315754550E-008,    0.36950737430385E+012,    0.50326720151441E+012 
    0.33810390456310E-008,    0.35846941914972E+012,    0.50403412884386E+012 
    0.33929465158069E-008,    0.34952936714329E+012,    0.50403308433151E+012 
    0.34048539859829E-008,    0.34275135967835E+012,    0.50326544363599E+012 
    0.34167614561589E-008,    0.33818362613897E+012,    0.50173822843859E+012 
    0.34286689263348E-008,    0.33585813476586E+012,    0.49946405224988E+012 
    0.34405763965108E-008,    0.33579036305031E+012,    0.49646102515825E+012 
    0.34524838666868E-008,    0.33797918932068E+012,    0.49275261821666E+012 
    0.34643913368627E-008,    0.34240690629728E+012,    0.48836748845967E+012 
    0.34762988070387E-008,    0.34903935649751E+012,    0.48333926583140E+012 
    0.34882062772147E-008,    0.35782618847947E+012,    0.47770630358478E+012 
    0.35001137473906E-008,    0.36870123202658E+012,    0.47151139398061E+012 
    0.35120212175666E-008,    0.38158298950329E+012,    0.46480145137083E+012 
    0.35239286877426E-008,    0.39637523975982E+012,    0.45762716499096E+012 
    0.35358361579185E-008,    0.41296775013815E+012,    0.45004262401134E+012 
    0.35477436280945E-008,    0.43123709133751E+012,    0.44210491760343E+012 
    0.35596510982705E-008,    0.45104754914213E+012,    0.43387371296442E+012 
    0.35715585684464E-008,    0.47225212630162E+012,    0.42541081440946E+012 
    0.35834660386224E-008,    0.49469362719119E+012,    0.41677970678501E+012 
    0.35953735087984E-008,    0.51820581726899E+012,    0.40804508657679E+012 
    0.36072809789743E-008,    0.54261464879656E+012,    0.39927238418195E+012 
    0.36191884491503E-008,    0.56773954379956E+012,    0.39052728088494E+012 
    0.36310959193263E-008,    0.59339472482293E+012,    0.38187522412046E+012 
    0.36430033895022E-008,    0.61939058368181E+012,    0.37338094462372E+012 
    0.36549108596782E-008,    0.64553507812842E+012,    0.36510797905708E+012 
    0.36668183298542E-008,    0.67163514614895E+012,    0.35711820166431E+012 
    0.36787258000301E-008,    0.69749812747435E+012,    0.34947136843705E+012 
    0.36906332702061E-008,    0.72293318183659E+012,    0.34222467718507E+012 
    0.37025407403821E-008,    0.74775269352684E+012,    0.33543234678149E+012 
    0.37144482105580E-008,    0.77177365191554E+012,    0.32914521870809E+012 
    0.37263556807340E-008,    0.79481899777436E+012,    0.32341038385490E+012 
    0.37382631509100E-008,    0.81671892549583E+012,    0.31827083733374E+012 
    0.37501706210859E-008,    0.83731213163650E+012,    0.31376516384928E+012 
    0.37620780912619E-008,    0.85644700060989E+012,    0.30992725593539E+012 
    0.37739855614379E-008,    0.87398271882463E+012,    0.30678606711027E+012 
    0.37858930316138E-008,    0.88979030909628E+012,    0.30436540173519E+012 
    0.37978005017898E-008,    0.90375357775448E+012,    0.30268374307909E+012 
    0.38097079719658E-008,    0.91576996751577E+012,    0.30175412079877E+012 
    0.38216154421417E-008,    0.92575130989132E+012,    0.30158401874426E+012 
    0.38335229123177E-008,    0.93362447164244E+012,    0.30217532369330E+012 
    0.38454303824937E-008,    0.93933189057957E+012,    0.30352431531112E+012 
    0.38573378526696E-008,    0.94283199681617E+012,    0.30562169732447E+012 
    0.38692453228456E-008,    0.94409951643159E+012,    0.30845266959359E+012 
    0.38811527930216E-008,    0.94312565536009E+012,    0.31199704046673E+012 
    0.38930602631975E-008,    0.93991816220025E+012,    0.31622937850950E+012 
    0.39049677333735E-008,    0.93450126952409E+012,    0.32111920241878E+012 
    0.39168752035495E-008,    0.92691551415127E+012,    0.32663120766017E+012 
    0.39287826737254E-008,    0.91721743773491E+012,    0.33272552810978E+012 
    0.39406901439014E-008,    0.90547916987568E+012,    0.33935803073837E+012 
    0.39525976140774E-008,    0.89178789683350E+012,    0.34648064114841E+012 
    0.39645050842534E-008,    0.87624521973592E+012,    0.35404169756495E+012 
    0.39764125544293E-008,    0.85896640698341E+012,    0.36198633068914E+012 
    0.39883200246053E-008,    0.84007954631856E+012,    0.37025686665023E+012 
    0.40000000000000E-008,    0.82012650561643E+012,    0.37862804887956E+012 
    0.40119074701760E-008,    0.79847831583749E+012,    0.38736497426016E+012 
    0.40238149403519E-008,    0.77567021005087E+012,    0.39624348858629E+012 
    0.40357224105279E-008,    0.75187114470597E+012,    0.40519910157295E+012 
    0.40476298807039E-008,    0.72725741520061E+012,    0.41416676419262E+012 
    0.40595373508798E-008,    0.70201135909936E+012,    0.42308134494349E+012 
    0.40714448210558E-008,    0.67632001469685E+012,    0.43187810677590E+012 
    0.40833522912318E-008,    0.65037374473679E+012,    0.44049318126160E+012 
    0.40952597614077E-008,    0.62436483536156E+012,    0.44886403660395E+012 
    0.41071672315837E-008,    0.59848608056049E+012,    0.45692993612279E+012 
    0.41190747017597E-008,    0.57292936250343E+012,    0.46463238390454E+012 
    0.41309821719356E-008,    0.54788423819107E+012,    0.47191555438721E+012 
    0.41428896421116E-008,    0.52353654282153E+012,    0.47872670275038E+012 
    0.41547971122876E-008,    0.50006702016509E+012,    0.48501655310234E+012 
    0.41667045824635E-008,    0.47764999005572E+012,    0.49073966160039E+012 
    0.41786120526395E-008,    0.45645206284870E+012,    0.49585475180459E+012 
    0.41905195228155E-008,    0.43663091036155E+012,    0.50032501975077E+012 
    0.42024269929914E-008,    0.41833410241041E+012,    0.50411840643384E+012 
    0.42143344631674E-008,    0.40169801757991E+012,    0.50720783561659E+012 
    0.42262419333434E-008,    0.38684683632415E+012,    0.50957141512212E+012 
    0.42381494035193E-008,    0.37389162389283E+012,    0.51119260002734E+012 
    0.42500568736953E-008,    0.36292950991487E+012,    0.51206031644970E+012 
    0.42619643438713E-008,    0.35404297075628E+012,    0.51216904490828E+012 
    0.42738718140472E-008,    0.34729922000540E+012,    0.51151886254020E+012 
    0.42857792842232E-008,    0.34274971163195E+012,    0.51011544376347E+012 
    0.42976867543992E-008,    0.34042975952430E+012,    0.50797001929396E+012 
    0.43095942245751E-008,    0.34035827623677E+012,    0.50509929374549E+012 
    0.43215016947511E-008,    0.34253763288456E+012,    0.50152532236478E+012 
    0.43334091649271E-008,    0.34695364121339E+012,    0.49727534777434E+012 
    0.43453166351031E-008,    0.35357565795328E+012,    0.49238159791345E+012 
    0.43572241052790E-008,    0.36235681064708E+012,    0.48688104667641E+012 
    0.43691315754550E-008,    0.37323434323292E+012,    0.48081513904610E+012 
    0.43810390456310E-008,    0.38613007876254E+012,    0.47422948280531E+012 
    0.43929465158069E-008,    0.40095099576177E+012,    0.46717350917664E+012 
    0.44048539859829E-008,    0.41758991389307E+012,    0.45970010498964E+012 
    0.44167614561589E-008,    0.43592628376786E+012,    0.45186521920036E+012 
