 wavelength,emission_coefficient,absorption_coefficient
   777.47164328657323      ,   11483581632.582209      ,   1.4687722827235074E-004
   777.47304609218440      ,   10977369680.466478      ,   1.4040356353708447E-004
   777.47444889779570      ,   10518730040.160892      ,   1.3453830035307213E-004
   777.47585170340687      ,   10096086097.974228      ,   1.2913338897326809E-004
   777.47725450901817      ,   9705320468.9219971      ,   1.2413617276475151E-004
   777.47865731462934      ,   9343586724.3212318      ,   1.1951024946104255E-004
   777.48006012024052      ,   9008344305.4835320      ,   1.1522312840050197E-004
   777.48146292585170      ,   8694926300.9966030      ,   1.1121512893458127E-004
   777.48286573146299      ,   8403452236.1050329      ,   1.0748777175383857E-004
   777.48426853707429      ,   8135705179.4580059      ,   1.0406386464404132E-004
   777.48567134268546      ,   7886641590.4412422      ,   1.0087890665938572E-004
   777.48707414829676      ,   7654831434.5888739      ,   9.7914609536888355E-005
   777.48847695390782      ,   7439032606.3158379      ,   9.5155089132630387E-005
   777.48987975951911      ,   7238235251.7100639      ,   9.2587432670774412E-005
   777.49128256513029      ,   7047413223.0410042      ,   9.0147358677266005E-005
   777.49268537074158      ,   6873500515.4966545      ,   8.7923543793379946E-005
   777.49408817635276      ,   6711538939.2446308      ,   8.5852580996338744E-005
   777.49549098196405      ,   6560771910.1138954      ,   8.3924794833733680E-005
   777.49689378757523      ,   6420540122.2343807      ,   8.2131754393966028E-005
   777.49829659318641      ,   6290280471.5381174      ,   8.0466259190414843E-005
   777.49969939879770      ,   6168191934.2809496      ,   7.8905280396188314E-005
   777.50110220440888      ,   6055023922.1176672      ,   7.7458392383864227E-005
   777.50250501002017      ,   5951477468.1828671      ,   7.6134566791990403E-005
   777.50390781563135      ,   5855847573.1196642      ,   7.4911999146576959E-005
   777.50531062124253      ,   5767766586.3829155      ,   7.3785988350684320E-005
   777.50671342685371      ,   5686933002.6415119      ,   7.2752679776714435E-005
   777.50811623246500      ,   5613256842.7129097      ,   7.1810928165934212E-005
   777.50951903807618      ,   5544422781.0003681      ,   7.0931114995268749E-005
   777.51092184368747      ,   5483705461.0994387      ,   7.0155121288209926E-005
   777.51232464929876      ,   5429144741.9771080      ,   6.9457882133583135E-005
   777.51372745490983      ,   5380552314.2224684      ,   6.8836990184276793E-005
   777.51513026052112      ,   5337808348.5062466      ,   6.8290914694532748E-005
   777.51653306613230      ,   5300994485.8718243      ,   6.7820703002983312E-005
   777.51793587174359      ,   5269094706.9491062      ,   6.7413363938082795E-005
   777.51933867735477      ,   5242646024.7058840      ,   6.7075754967839971E-005
   777.52074148296606      ,   5222096305.2537365      ,   6.6813612274232534E-005
   777.52214428857724      ,   5206855692.9488497      ,   6.6619393617697552E-005
   777.52354709418842      ,   5196910452.9972210      ,   6.6492925189569541E-005
   777.52494989979971      ,   5192247660.8853283      ,   6.6434043328861571E-005
   777.52635270541089      ,   5193665757.1267443      ,   6.6452972733399343E-005
   777.52775551102218      ,   5198860280.6960716      ,   6.6520221186887891E-005
   777.52915831663336      ,   5210240394.3009453      ,   6.6666610081275946E-005
   777.53056112224465      ,   5227013747.2770414      ,   6.6882009660796171E-005
   777.53196392785571      ,   5249265656.6534872      ,   6.7167513291087899E-005
   777.53336673346701      ,   5277175386.9964952      ,   6.7525417231822539E-005
   777.53476953907818      ,   5311534129.8086681      ,   6.7965849469140460E-005
   777.53617234468948      ,   5351231368.7580805      ,   6.8474604546957114E-005
   777.53757515030065      ,   5396735529.8182611      ,   6.9057664785671579E-005
   777.53897795591195      ,   5448728570.4689503      ,   6.9723764465254306E-005
   777.54038076152312      ,   5507223271.7725258      ,   7.0473070644201183E-005
   777.54178356713430      ,   5572532437.6281443      ,   7.1309588444818417E-005
   777.54318637274559      ,   5645053959.4283457      ,   7.2238411576363020E-005
   777.54458917835677      ,   5726785341.1700344      ,   7.3285112365820276E-005
   777.54599198396807      ,   5814100563.3680925      ,   7.4403276966075046E-005
   777.54739478957924      ,   5910177566.8771114      ,   7.5633576243882769E-005
   777.54879759519042      ,   6014951550.1595106      ,   7.6975187521962667E-005
   777.55020040080160      ,   6128959447.1011524      ,   7.8434984471266228E-005
   777.55160320641289      ,   6252846057.4807262      ,   8.0021221733245275E-005
   777.55300601202418      ,   6389283807.2413731      ,   8.1768107246887119E-005
   777.55440881763536      ,   6535725763.0459547      ,   8.3643046241091114E-005
   777.55581162324665      ,   6693602630.8186731      ,   8.5664341059770471E-005
   777.55721442885772      ,   6864510485.3311520      ,   8.7852427428614880E-005
