001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-NumDens-Spec-007,009-NumDens-Spec-008,010-NumDens-Spec-009,011-NumDens-Spec-010,012-NumDens-Spec-011,013-NumDens-Spec-012,014-NumDens-Spec-013,015-NumDens-Spec-014,016-NumDens-Spec-015,017-NumDens-Spec-016,018-NumDens-Spec-017,019-NumDens-Spec-018,020-NumDens-Spec-019
0.3100000000000151E-005,0.4004110459633443E+018,0.1301335899380869E+019,0.4905035313050967E+019,0.6474646613227277E+021,0.2631301188548117E+022,0.1965017208065112E+021,0.3387977962657346E+022,0.1699744890114396E+021,0.2779853686600518E+021,0.9920183663741854E+020,0.3615811847810489E+022,0.3168552709469434E+022,0.1218420782038009E+023,0.1080309002009103E+022,0.1001027614908361E+019,0.8208426442248557E+019,0.5640790610008612E+021,0.5070204869510846E+021,0.2854620439158023E+023
0.3200000000000159E-005,0.0000000000000000E+000,0.8008220919266885E+018,0.3003082844725082E+019,0.5518665240989792E+021,0.2655025543021445E+022,0.1878928833182993E+021,0.3169353531561361E+022,0.1899950413096068E+021,0.2565633777010128E+021,0.1024051250051253E+021,0.3568963755432778E+022,0.3221707275821068E+022,0.1274218061293001E+023,0.1116846509953258E+022,0.1001027614908361E+019,0.8508734726721065E+019,0.5613762864406086E+021,0.5459604611710199E+021,0.2888345059504286E+023
0.3300000000000166E-005,0.0000000000000000E+000,0.4004110459633443E+018,0.2202260752798393E+019,0.4670794851162411E+021,0.2673844862181722E+022,0.1737783939480914E+021,0.2985865169748658E+022,0.2118174433146091E+021,0.2299360431444504E+021,0.1009035835827627E+021,0.3540734776692362E+022,0.3277764822255936E+022,0.1322487612883882E+023,0.1151682270952069E+022,0.1001027614908361E+019,0.8408631965230230E+019,0.5583732035958836E+021,0.5838994077760468E+021,0.2919256792252656E+023
0.3400000000000174E-005,0.0000000000000000E+000,0.5005138074541803E+018,0.1501541422362541E+019,0.4104213221124278E+021,0.2687558940505966E+022,0.1623666791381361E+021,0.2795369614631597E+022,0.2238297746935094E+021,0.2105161074152283E+021,0.1098127293554472E+021,0.3515008366989217E+022,0.3307795650703187E+022,0.1367413732240970E+023,0.1178409708270122E+022,0.9009248534175246E+018,0.7707912634794377E+019,0.5560708400815943E+021,0.6137300307003159E+021,0.2945563797972448E+023
0.3500000000000181E-005,0.0000000000000000E+000,0.3003082844725082E+018,0.1401438660871705E+019,0.3614710717434090E+021,0.2695266853140761E+022,0.1487527035753824E+021,0.2624994714574194E+022,0.2454519711755300E+021,0.1919970965394236E+021,0.1065093382262496E+021,0.3504097165986716E+022,0.3334723293544222E+022,0.1408646059699045E+023,0.1205437453872648E+022,0.9009248534175246E+018,0.7607809873303541E+019,0.5518665240989792E+021,0.6450621950469476E+021,0.2971230146018698E+023
0.3600000000000189E-005,0.0000000000000000E+000,0.2002055229816721E+018,0.1001027614908361E+019,0.3246332555147813E+021,0.2709181136987987E+022,0.1367403721964821E+021,0.2457522794600026E+022,0.2568636859854853E+021,0.1769816823157982E+021,0.1065093382262496E+021,0.3483676202642586E+022,0.3361050319816312E+022,0.1447435879776744E+023,0.1225758314455287E+022,0.1001027614908361E+019,0.7007193304358524E+019,0.5484630302082908E+021,0.6692870633277299E+021,0.2994023544810161E+023
0.3700000000000196E-005,0.0000000000000000E+000,0.2002055229816721E+018,0.1001027614908361E+019,0.2843919453954653E+021,0.2714186275062529E+022,0.1241274242486367E+021,0.2319080675458199E+022,0.2703775587867482E+021,0.1524565057505433E+021,0.1058086188958137E+021,0.3490383087662472E+022,0.3389879915125673E+022,0.1481671024206610E+023,0.1244877941900037E+022,0.8008220919266885E+018,0.6907090542867688E+019,0.5439584059412032E+021,0.6932116233240398E+021,0.3015835936539014E+023
0.3800000000000204E-005,0.0000000000000000E+000,0.1001027614908361E+018,0.1001027614908361E+019,0.2643713930972981E+021,0.2713485555732093E+022,0.1137167370535898E+021,0.2181839789454263E+022,0.2898975972774612E+021,0.1428466406474231E+021,0.9860122006847352E+020,0.3493986787076142E+022,0.3400390705082210E+022,0.1512833013858707E+023,0.1258491917462791E+022,0.1001027614908361E+019,0.6306473973922672E+019,0.5392535761511338E+021,0.7119308397228260E+021,0.3034555152937801E+023
0.3900000000000175E-005,0.0000000000000000E+000,0.1001027614908361E+018,0.8008220919266885E+018,0.2387450861556440E+021,0.2710682678410350E+022,0.1093122155479930E+021,0.2050605069139777E+022,0.2935012966911313E+021,0.1330365700213211E+021,0.1034061526200337E+021,0.3504897988078643E+022,0.3410100672946821E+022,0.1542183143527820E+023,0.1271104865410636E+022,0.1201233137890033E+019,0.6106268450941000E+019,0.5351493629300096E+021,0.7286480008917957E+021,0.3051922982056460E+023
0.4000000000000140E-005,0.0000000000000000E+000,0.0000000000000000E+000,0.7007193304358524E+018,0.2148205261593342E+021,0.2707279184519661E+022,0.1033060498585428E+021,0.1932684016103572E+022,0.3038118811246874E+021,0.1288322540387060E+021,0.9880142559145519E+020,0.3514207544897291E+022,0.3424715676124483E+022,0.1569090765816557E+023,0.1282816888505064E+022,0.9009248534175246E+018,0.6506679496904344E+019,0.5313454579933578E+021,0.7440638261613844E+021,0.3068570071292386E+023
