001-TIME,002-TempTra-001
1.34720000000003E-003,8.28164764111273E+002
1.34760000000003E-003,8.28480298289534E+002
1.34800000000003E-003,8.28831453156108E+002
1.34840000000003E-003,8.28949752583014E+002
1.34880000000003E-003,8.28914722041675E+002
1.34920000000003E-003,8.28940426540366E+002
1.34960000000003E-003,8.28849040046731E+002
1.35000000000003E-003,8.29072132465386E+002
1.35040000000003E-003,8.29179894536277E+002
1.35080000000003E-003,8.29665275390952E+002
1.35120000000003E-003,8.29780281420584E+002
1.35160000000003E-003,8.29927084910514E+002
1.35200000000003E-003,8.30222332486786E+002
1.35240000000003E-003,8.30168905208351E+002
1.35280000000003E-003,8.30360276709358E+002
1.35320000000003E-003,8.30342027767098E+002
1.35360000000003E-003,8.30268074479715E+002
1.35400000000003E-003,8.30219091745792E+002
1.35440000000003E-003,8.30243151620586E+002
1.35480000000003E-003,8.30265674141887E+002
1.35520000000003E-003,8.30218334433480E+002
1.35560000000003E-003,8.30565851319373E+002
1.35600000000003E-003,8.30534314685523E+002
1.35640000000003E-003,8.30433453640704E+002
1.35680000000003E-003,8.30334677022239E+002
1.35720000000003E-003,8.30123695140528E+002
1.35760000000003E-003,8.30069090823660E+002
1.35800000000003E-003,8.29948790180642E+002
1.35840000000003E-003,8.30139882906551E+002
1.35880000000003E-003,8.30004342273117E+002
1.35920000000003E-003,8.29996322030239E+002
1.35960000000003E-003,8.30090337084438E+002
1.36000000000003E-003,8.30311179531519E+002
1.36040000000003E-003,8.30558629192748E+002
1.36080000000003E-003,8.30553443192143E+002
1.36120000000003E-003,8.30770491837408E+002
1.36160000000003E-003,8.31042744200717E+002
1.36200000000003E-003,8.31121199679837E+002
1.36240000000003E-003,8.31264083160557E+002
1.36280000000003E-003,8.31452367509781E+002
1.36320000000003E-003,8.31383180111346E+002
1.36360000000003E-003,8.31441533657577E+002
1.36400000000003E-003,8.31538962835386E+002
1.36440000000003E-003,8.31912743930119E+002
1.36480000000003E-003,8.31869401184752E+002
1.36520000000003E-003,8.31735974838264E+002
1.36560000000003E-003,8.31842357163585E+002
1.36600000000003E-003,8.31780057314664E+002
1.36640000000003E-003,8.31790155178734E+002
1.36680000000003E-003,8.31642096853266E+002
1.36720000000003E-003,8.31764567641477E+002
1.36760000000003E-003,8.31860614942513E+002
1.36800000000003E-003,8.32063994241220E+002
1.36840000000003E-003,8.32146225654214E+002
1.36880000000003E-003,8.32224028391989E+002
1.36920000000003E-003,8.32113760377722E+002
1.36960000000003E-003,8.32184115902726E+002
1.37000000000003E-003,8.32166110215567E+002
1.37040000000003E-003,8.32148006149488E+002
1.37080000000003E-003,8.32112926846556E+002
1.37120000000003E-003,8.32286249306837E+002
1.37160000000003E-003,8.32204252843890E+002
1.37200000000003E-003,8.32191144456272E+002
1.37240000000003E-003,8.32481938258126E+002
1.37280000000003E-003,8.32504950737733E+002
1.37320000000003E-003,8.32658831560224E+002
1.37360000000003E-003,8.32452704120446E+002
1.37400000000003E-003,8.32522159229367E+002
1.37440000000003E-003,8.32558155928893E+002
1.37480000000003E-003,8.32895810087780E+002
1.37520000000003E-003,8.33104975061598E+002
1.37560000000003E-003,8.33100778266061E+002
1.37600000000003E-003,8.33117351414895E+002
1.37640000000003E-003,8.33291147602285E+002
1.37680000000003E-003,8.33376181764686E+002
1.37720000000003E-003,8.33701948497869E+002
1.37760000000003E-003,8.33906603793331E+002
1.37800000000003E-003,8.33987785348008E+002
1.37840000000003E-003,8.34163019214154E+002
1.37880000000003E-003,8.34271775202330E+002
1.37920000000003E-003,8.34300862496688E+002
1.37960000000003E-003,8.34414280463791E+002
1.38000000000003E-003,8.34473752826008E+002
1.38040000000003E-003,8.34405925952797E+002
1.38080000000003E-003,8.34671477449341E+002
1.38120000000003E-003,8.34807646226258E+002
1.38160000000003E-003,8.34593811591443E+002
1.38200000000003E-003,8.34659083043475E+002
1.38240000000003E-003,8.34926363689052E+002
1.38280000000003E-003,8.35030038929190E+002
1.38320000000003E-003,8.34873914909814E+002
1.38360000000003E-003,8.34780184278737E+002
1.38400000000003E-003,8.35106751507771E+002
1.38440000000003E-003,8.35332575647845E+002
1.38480000000003E-003,8.35257504963399E+002
1.38520000000003E-003,8.35146655483752E+002
1.38560000000003E-003,8.35295412833725E+002
1.38600000000003E-003,8.35246210576175E+002
1.38640000000003E-003,8.35282830767208E+002
1.38680000000003E-003,8.35468427801964E+002
1.38720000000003E-003,8.35542523403180E+002
1.38760000000003E-003,8.35719124828947E+002
1.38800000000003E-003,8.35602843040051E+002
1.38840000000003E-003,8.35524344685075E+002
1.38880000000003E-003,8.35605189462053E+002
1.38920000000003E-003,8.35754867251516E+002
1.38960000000003E-003,8.36002879749684E+002
1.39000000000003E-003,8.36188026965525E+002
1.39040000000003E-003,8.36113611578136E+002
1.39080000000003E-003,8.36119388637352E+002
1.39120000000003E-003,8.36157220170713E+002
1.39160000000003E-003,8.36486177552350E+002
1.39200000000003E-003,8.36423481836841E+002
1.39240000000003E-003,8.36536310273884E+002
1.39280000000003E-003,8.36565810452891E+002
1.39320000000003E-003,8.36614176076841E+002
1.39360000000003E-003,8.36833006756118E+002
1.39400000000003E-003,8.36928804707029E+002
1.39440000000003E-003,8.37056108680914E+002
1.39480000000003E-003,8.36974737613111E+002
1.39520000000003E-003,8.37161301008019E+002
1.39560000000003E-003,8.37334599326887E+002
1.39600000000003E-003,8.37788824188377E+002
1.39640000000003E-003,8.37932140466159E+002
1.39680000000003E-003,8.38069786031843E+002
1.39720000000003E-003,8.38006999572968E+002
1.39760000000003E-003,8.37968927676172E+002
1.39800000000003E-003,8.38240775597282E+002
1.39840000000003E-003,8.38407510489856E+002
1.39880000000003E-003,8.38551411939642E+002
1.39920000000003E-003,8.38540908326349E+002
1.39960000000003E-003,8.38757525324931E+002
1.40000000000003E-003,8.38814361732652E+002
1.40040000000003E-003,8.38977563363812E+002
1.40080000000003E-003,8.39039509053516E+002
1.40120000000003E-003,8.39262965991942E+002
1.40160000000003E-003,8.39402987511165E+002
1.40200000000003E-003,8.39417753779094E+002
1.40240000000003E-003,8.39426822565949E+002
1.40280000000003E-003,8.39469917253219E+002
1.40320000000003E-003,8.39479709151287E+002
1.40360000000003E-003,8.39160961256559E+002
1.40400000000003E-003,8.39162336246023E+002
1.40440000000003E-003,8.39236486532213E+002
1.40480000000003E-003,8.39392814932057E+002
1.40520000000003E-003,8.39523595486447E+002
1.40560000000003E-003,8.39626779157920E+002
1.40600000000003E-003,8.39593271349627E+002
1.40640000000003E-003,8.39780115188072E+002
1.40680000000003E-003,8.39786259102928E+002
1.40720000000003E-003,8.39632625412519E+002
1.40760000000003E-003,8.39454154514194E+002
1.40800000000003E-003,8.39403669003478E+002
1.40840000000003E-003,8.39482989982509E+002
1.40880000000003E-003,8.39931216949974E+002
1.40920000000003E-003,8.40173563674395E+002
1.40960000000003E-003,8.40258920193264E+002
1.41000000000003E-003,8.40011931596639E+002
1.41040000000003E-003,8.40080010425046E+002
1.41080000000003E-003,8.40008766206325E+002
1.41120000000003E-003,8.40009823150172E+002
1.41160000000003E-003,8.39872130297070E+002
1.41200000000003E-003,8.39831280425745E+002
1.41240000000003E-003,8.39730226454679E+002
1.41280000000003E-003,8.39656501833741E+002
1.41320000000003E-003,8.39871850311480E+002
1.41360000000003E-003,8.40013666603174E+002
1.41400000000003E-003,8.39990086959157E+002
1.41440000000003E-003,8.40169814233999E+002
1.41480000000003E-003,8.40426555587907E+002
1.41520000000003E-003,8.40590497344857E+002
1.41560000000003E-003,8.40892614023162E+002
1.41600000000003E-003,8.41090177301795E+002
1.41640000000003E-003,8.41246213193489E+002
1.41680000000003E-003,8.41130523238701E+002
1.41720000000003E-003,8.41291781648474E+002
1.41760000000003E-003,8.41305708718576E+002
1.41800000000003E-003,8.41250546140120E+002
1.41840000000003E-003,8.41254289357270E+002
1.41880000000003E-003,8.41660556028796E+002
1.41920000000003E-003,8.41523973343365E+002
1.41960000000003E-003,8.41791420825366E+002
1.42000000000003E-003,8.41839289191980E+002
1.42040000000003E-003,8.41851017447709E+002
1.42080000000003E-003,8.41982405177857E+002
1.42120000000003E-003,8.42201680086133E+002
1.42160000000003E-003,8.42452352831762E+002
1.42200000000003E-003,8.42547933498336E+002
1.42240000000003E-003,8.42577923317316E+002
1.42280000000003E-003,8.42515939742294E+002
1.42320000000003E-003,8.42371741898671E+002
1.42360000000003E-003,8.42381204224837E+002
1.42400000000003E-003,8.42360157889780E+002
1.42440000000003E-003,8.42486236253005E+002
1.42480000000003E-003,8.42455762845668E+002
1.42520000000003E-003,8.42786762906107E+002
1.42560000000003E-003,8.42792402785271E+002
1.42600000000003E-003,8.42815908941831E+002
1.42640000000003E-003,8.42892119624126E+002
1.42680000000003E-003,8.42972928109014E+002
1.42720000000003E-003,8.43044079825924E+002
1.42760000000003E-003,8.43231909493369E+002
1.42800000000003E-003,8.43215358138181E+002
1.42840000000003E-003,8.43481759366532E+002
1.42880000000003E-003,8.43701695638220E+002
1.42920000000003E-003,8.43677687448955E+002
1.42960000000003E-003,8.43950030827053E+002
1.43000000000003E-003,8.43958728502483E+002
1.43040000000003E-003,8.44163186792451E+002
1.43080000000003E-003,8.44240976231229E+002
1.43120000000003E-003,8.44292835770908E+002
1.43160000000003E-003,8.44395555149567E+002
1.43200000000003E-003,8.44648226928407E+002
1.43240000000003E-003,8.44589206955343E+002
1.43280000000003E-003,8.44867478650883E+002
1.43320000000003E-003,8.45131227033813E+002
1.43360000000003E-003,8.45292702647407E+002
1.43400000000003E-003,8.45298323626640E+002
1.43440000000003E-003,8.45351319294059E+002
1.43480000000003E-003,8.45442020201921E+002
1.43520000000003E-003,8.45565080747349E+002
1.43560000000003E-003,8.45717227940677E+002
1.43600000000003E-003,8.45679487409000E+002
1.43640000000003E-003,8.45661450321240E+002
1.43680000000003E-003,8.45946377540437E+002
1.43720000000003E-003,8.46155929331312E+002
1.43760000000003E-003,8.46346877673266E+002
1.43800000000003E-003,8.46318888343554E+002
1.43840000000003E-003,8.46786138291090E+002
1.43880000000003E-003,8.46984984780705E+002
