001-TIME,002-E-El,003-E-Mag,004-E-phi,005-E-psi,006-E-pot
8.93060263197545E-010,4.38370622250367E+011,1.73557125958930E+011,0.00000000000000E+000,0.00000000000000E+000,6.11927748209297E+011
9.04967733373512E-010,4.62774610689856E+011,1.71848468694730E+011,0.00000000000000E+000,0.00000000000000E+000,6.34623079384586E+011
9.16875203549479E-010,4.87605718516952E+011,1.70475378388026E+011,0.00000000000000E+000,0.00000000000000E+000,6.58081096904978E+011
9.28782673725447E-010,5.12751908619559E+011,1.69457155932956E+011,0.00000000000000E+000,0.00000000000000E+000,6.82209064552514E+011
9.40690143901414E-010,5.38096540101983E+011,1.68811995007908E+011,0.00000000000000E+000,0.00000000000000E+000,7.06908535109891E+011
9.52597614077381E-010,5.63519038861022E+011,1.68556927343211E+011,0.00000000000000E+000,0.00000000000000E+000,7.32075966204233E+011
9.64505084253348E-010,5.88895609482665E+011,1.68707763181902E+011,0.00000000000000E+000,0.00000000000000E+000,7.57603372664566E+011
9.76412554429316E-010,6.14099984803047E+011,1.69279026210123E+011,0.00000000000000E+000,0.00000000000000E+000,7.83379011013171E+011
9.88320024605283E-010,6.39004208994509E+011,1.70283882680556E+011,0.00000000000000E+000,0.00000000000000E+000,8.09288091675065E+011
1.00000000000000E-009,6.63016641280549E+011,1.71702123857491E+011,0.00000000000000E+000,0.00000000000000E+000,8.34718765138039E+011
1.01190747017597E-009,6.86945839441819E+011,1.73599064432830E+011,0.00000000000000E+000,0.00000000000000E+000,8.60544903874649E+011
1.02381494035193E-009,7.10191547651910E+011,1.75960010852395E+011,0.00000000000000E+000,0.00000000000000E+000,8.86151558504306E+011
1.03572241052790E-009,7.32627348079218E+011,1.78791921105811E+011,0.00000000000000E+000,0.00000000000000E+000,9.11419269185029E+011
1.04762988070387E-009,7.54129361960726E+011,1.82099973879613E+011,0.00000000000000E+000,0.00000000000000E+000,9.36229335840339E+011
1.05953735087984E-009,7.74577124866857E+011,1.85887477763484E+011,0.00000000000000E+000,0.00000000000000E+000,9.60464602630341E+011
1.07144482105580E-009,7.93854456590116E+011,1.90155781960538E+011,0.00000000000000E+000,0.00000000000000E+000,9.84010238550655E+011
1.08335229123177E-009,8.11850319218884E+011,1.94904190204580E+011,0.00000000000000E+000,0.00000000000000E+000,1.00675450942346E+012
1.09525976140774E-009,8.28459656881439E+011,2.00129879583735E+011,0.00000000000000E+000,0.00000000000000E+000,1.02858953646517E+012
1.10716723158371E-009,8.43584210614593E+011,2.05827825923778E+011,0.00000000000000E+000,0.00000000000000E+000,1.04941203653837E+012
1.11907470175967E-009,8.57133301826890E+011,2.11990737304467E+011,0.00000000000000E+000,0.00000000000000E+000,1.06912403913136E+012
1.13098217193564E-009,8.69024577890402E+011,2.18608997176822E+011,0.00000000000000E+000,0.00000000000000E+000,1.08763357506722E+012
1.14288964211161E-009,8.79184713510438E+011,2.25670618426887E+011,0.00000000000000E+000,0.00000000000000E+000,1.10485533193732E+012
1.15479711228757E-009,8.87550061692886E+011,2.33161209599343E+011,0.00000000000000E+000,0.00000000000000E+000,1.12071127129223E+012
1.16670458246354E-009,8.94067248357991E+011,2.41063954358620E+011,0.00000000000000E+000,0.00000000000000E+000,1.13513120271661E+012
1.17861205263951E-009,8.98693704940823E+011,2.49359605130364E+011,0.00000000000000E+000,0.00000000000000E+000,1.14805331007119E+012
1.19051952281548E-009,9.01398133674961E+011,2.58026491735512E+011,0.00000000000000E+000,0.00000000000000E+000,1.15942462541047E+012
1.20242699299144E-009,9.02160900678306E+011,2.67040545704246E+011,0.00000000000000E+000,0.00000000000000E+000,1.16920144638255E+012
1.21433446316741E-009,9.00974352447715E+011,2.76375340838077E+011,0.00000000000000E+000,0.00000000000000E+000,1.17734969328579E+012
1.22624193334338E-009,8.97843051919587E+011,2.86002150474246E+011,0.00000000000000E+000,0.00000000000000E+000,1.18384520239383E+012
