  TIME     ,002-nPart-Spec-001     ,003-Charge     ,004-Charge-absError,005-Charge-relError,006-nPartIn-Spec-001     ,007-nPartOut-Spec-001     ,008-W-El      ,009 -W-Mag    ,010-Ekin-001     ,011-EkinIn-001     ,012-EkinOut-001      
    0.19219297927305E-010,    0.52370000000000E+004,   -0.83905984876100E-009,    0.28434333556510E-022,   -0.33888325842905E-013,    0.26100000000000E+003,    0.00000000000000E+000,    0.61030942217562E-007,    0.62773460283635E-008,    0.67691394049528E-004,    0.33976156039316E-005,    0.00000000000000E+000 
    0.20180262823670E-010,    0.54990000000000E+004,   -0.88103687384700E-009,    0.30088694781616E-022,   -0.34151459121384E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.69349030754589E-007,    0.72779825896984E-008,    0.71047150313783E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.21141227720035E-010,    0.57610000000000E+004,   -0.92301389893300E-009,    0.31639658430153E-022,   -0.34278637046235E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.78456297062301E-007,    0.83835614537913E-008,    0.74406161502269E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.22102192616400E-010,    0.60230000000000E+004,   -0.96499092401900E-009,    0.31846453583292E-022,   -0.33001816691351E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.88409553265959E-007,    0.95998347351398E-008,    0.77755613114458E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.23063157512766E-010,    0.62850000000000E+004,   -0.10069679491050E-008,    0.32673634195845E-022,   -0.32447541378935E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.99254466998794E-007,    0.10932151412428E-007,    0.81103084553786E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.24024122409131E-010,    0.65460000000000E+004,   -0.10487847565380E-008,    0.32466839042706E-022,   -0.30956627506562E-013,    0.26100000000000E+003,    0.00000000000000E+000,    0.11102479734055E-006,    0.12385955962062E-007,    0.84433428348705E-004,    0.33976156039316E-005,    0.00000000000000E+000 
    0.24985087305496E-010,    0.68080000000000E+004,   -0.10907617816240E-008,    0.32466839042706E-022,   -0.29765288433895E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.12373954294403E-006,    0.13965520179114E-007,    0.87773359712454E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.25946052201861E-010,    0.70710000000000E+004,   -0.11328990243630E-008,    0.32673634195845E-022,   -0.28840729397059E-013,    0.26300000000000E+003,    0.00000000000000E+000,    0.13740615241892E-006,    0.15672486341388E-007,    0.91123188268638E-004,    0.34236509725441E-005,    0.00000000000000E+000 
    0.26907017098227E-010,    0.73320000000000E+004,   -0.11747158317960E-008,    0.32466839042706E-022,   -0.27638036505450E-013,    0.26100000000000E+003,    0.00000000000000E+000,    0.15202443180201E-006,    0.17510255124741E-007,    0.94446443049754E-004,    0.33976156039316E-005,    0.00000000000000E+000 
    0.27867981994592E-010,    0.75940000000000E+004,   -0.12166928568820E-008,    0.32053248736430E-022,   -0.26344568849178E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.16760695536827E-006,    0.19481714735446E-007,    0.97777261620808E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.28828946890957E-010,    0.78550000000000E+004,   -0.12585096643150E-008,    0.31846453583292E-022,   -0.25304893944240E-013,    0.26100000000000E+003,    0.00000000000000E+000,    0.18417451386859E-006,    0.21588861816305E-007,    0.10109205091993E-003,    0.33976156039316E-005,    0.00000000000000E+000 
    0.29789911787322E-010,    0.81180000000000E+004,   -0.13006469070540E-008,    0.31639658430153E-022,   -0.24326093621995E-013,    0.26300000000000E+003,    0.00000000000000E+000,    0.20175076619760E-006,    0.23832870679894E-007,    0.10443032376877E-003,    0.34236509725441E-005,    0.00000000000000E+000 
    0.30000000000000E-010,    0.81750000000000E+004,   -0.13004866894010E-008,    0.92926238739674E-011,   -0.70948012232169E-002,    0.57000000000000E+002,    0.00000000000000E+000,    0.20577400369868E-006,    0.24341044525946E-007,    0.10516724315743E-003,    0.74200800545633E-006,    0.00000000000000E+000 
