"001-time","PartNum","PartPosX","PartPosY","PartPosZ","PartVelX","PartVelY","PartVelZ","gamma","Element"
0.7200000000000004E-003,0.1000000000000000E+001,0.5014576187784838E-003,0.2500908385827287E-003,0.2498522142427464E-003,0.3803240912966695E-002,0.3446394328695178E-003,-.2607989342353553E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.7400000000000004E-003,0.1000000000000000E+001,0.5015353517959313E-003,0.2500974538025430E-003,0.2498460948358523E-003,0.3970060831773065E-002,0.3168825485700359E-003,-.3511417551736867E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.7600000000000005E-003,0.1000000000000000E+001,0.5016152981182159E-003,0.2501041759442076E-003,0.2498399515358916E-003,0.4024571396696906E-002,0.3553316178862677E-003,-.2631882408964523E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.7800000000000005E-003,0.1000000000000000E+001,0.5016971702661720E-003,0.2501111144156333E-003,0.2498343870538184E-003,0.4162643398906213E-002,0.3385155246845072E-003,-.2932599664215256E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.8000000000000000E-003,0.1000000000000000E+001,0.5017806074509772E-003,0.2501180412224032E-003,0.2498277437571237E-003,0.4181075081615015E-002,0.3541651523013700E-003,-.3710697030501891E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.8200000000000001E-003,0.1000000000000000E+001,0.5018649820220366E-003,0.2501265723280265E-003,0.2498201377295403E-003,0.4256382024327893E-002,0.4989454100317578E-003,-.3895330552944080E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.8400000000000001E-003,0.1000000000000000E+001,0.5019506411143360E-003,0.2501370852350393E-003,0.2498119110620501E-003,0.4309527205611472E-002,0.5523452912483004E-003,-.4331336937225965E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.8600000000000002E-003,0.1000000000000000E+001,0.5020386028044164E-003,0.2501487454506966E-003,0.2498027502015842E-003,0.4486641802427463E-002,0.6136762744857219E-003,-.4829523528657669E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.8800000000000002E-003,0.1000000000000000E+001,0.5021296530323888E-003,0.2501603889189315E-003,0.2497925391224894E-003,0.4618380994809343E-002,0.5506705490078578E-003,-.5381555566110815E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.9000000000000003E-003,0.1000000000000000E+001,0.5022228926211458E-003,0.2501714931813906E-003,0.2497817775333816E-003,0.4705577880884547E-002,0.5597556969005952E-003,-.5380033541739671E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.9200000000000004E-003,0.1000000000000000E+001,0.5023178896526834E-003,0.2501829574838434E-003,0.2497699456514315E-003,0.4794125272871858E-002,0.5866745483796510E-003,-.6451848408389924E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.9400000000000004E-003,0.1000000000000000E+001,0.5024156372714921E-003,0.2501946653637187E-003,0.2497570761304060E-003,0.4980636607998274E-002,0.5841134391560324E-003,-.6417672617071179E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.9600000000000005E-003,0.1000000000000000E+001,0.5025151734827966E-003,0.2502064291015364E-003,0.2497445293317270E-003,0.4972984522453229E-002,0.5922603426073944E-003,-.6129126061956607E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.9800000000000004E-003,0.1000000000000000E+001,0.5026162014435128E-003,0.2502184237560385E-003,0.2497312705700225E-003,0.5129811549168813E-002,0.6072051076069961E-003,-.7129635642484612E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1000000000000000E-002,0.1000000000000000E+001,0.5027198090602574E-003,0.2502308741476936E-003,0.2497170793652995E-003,0.5230950125289807E-002,0.6378340579037668E-003,-.7061569080557451E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1020000000000000E-002,0.1000000000000000E+001,0.5028242068340095E-003,0.2502439387555239E-003,0.2497035008297743E-003,0.5208827249915944E-002,0.6686267251224618E-003,-.6516966444659663E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1040000000000000E-002,0.1000000000000000E+001,0.5029298272179489E-003,0.2502578870455596E-003,0.2496908432725936E-003,0.5353211144031213E-002,0.7262022784481054E-003,-.6140590736051939E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1060000000000000E-002,0.1000000000000000E+001,0.5030374106075455E-003,0.2502730204109901E-003,0.2496778799464327E-003,0.5405127815622203E-002,0.7871342646065246E-003,-.6822735424833332E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1080000000000000E-002,0.1000000000000000E+001,0.5031461740520230E-003,0.2502895635277007E-003,0.2496641008524519E-003,0.5471216632128126E-002,0.8671774064563208E-003,-.6956358555986854E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1100000000000000E-002,0.1000000000000000E+001,0.5032565762574461E-003,0.2503077769710448E-003,0.2496506097034800E-003,0.5569003910178443E-002,0.9541669279432675E-003,-.6534790415872803E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1120000000000000E-002,0.1000000000000000E+001,0.5033687571370822E-003,0.2503260183387307E-003,0.2496375949369605E-003,0.5649084053442398E-002,0.8699698406520363E-003,-.6479976103633107E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1140000000000000E-002,0.1000000000000000E+001,0.5034838877905618E-003,0.2503438657741263E-003,0.2496248703595219E-003,0.5863981294513462E-002,0.9147736989118170E-003,-.6244601334970731E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1160000000000000E-002,0.1000000000000000E+001,0.5036014321952885E-003,0.2503623666387153E-003,0.2496121232326031E-003,0.5890459178157813E-002,0.9353127599828051E-003,-.6502525583878995E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1180000000000000E-002,0.1000000000000000E+001,0.5037188006448932E-003,0.2503813281870648E-003,0.2495986325585152E-003,0.5846385782316083E-002,0.9608420749635350E-003,-.6988148503977868E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1200000000000000E-002,0.1000000000000000E+001,0.5038361679746988E-003,0.2503995430080537E-003,0.2495846124245786E-003,0.5890347198254270E-002,0.8606400239260069E-003,-.7031985432567165E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1220000000000000E-002,0.1000000000000000E+001,0.5039541326301384E-003,0.2504171279575542E-003,0.2495703384295692E-003,0.5906118345691761E-002,0.8978549261278867E-003,-.7242009576842745E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1240000000000000E-002,0.1000000000000000E+001,0.5040728649767668E-003,0.2504349022294904E-003,0.2495568683719703E-003,0.5967116317148088E-002,0.8795722674893692E-003,-.6228048022030041E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1260000000000000E-002,0.1000000000000000E+001,0.5041939070582237E-003,0.2504525560598480E-003,0.2495450351313521E-003,0.6137091828539036E-002,0.8858107682744013E-003,-.5605192596192369E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1280000000000000E-002,0.1000000000000000E+001,0.5043167009115865E-003,0.2504703039996268E-003,0.2495340822794222E-003,0.6142293507739749E-002,0.8889832096049232E-003,-.5347659333726131E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1300000000000000E-002,0.1000000000000000E+001,0.5044397424964492E-003,0.2504883490417985E-003,0.2495229723149331E-003,0.6161864978525981E-002,0.9155210075688839E-003,-.5762305155333429E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1320000000000000E-002,0.1000000000000000E+001,0.5045634659274163E-003,0.2505068306126627E-003,0.2495107213318574E-003,0.6210478118186406E-002,0.9326360788522451E-003,-.6488677920400757E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1340000000000000E-002,0.1000000000000000E+001,0.5046880791211646E-003,0.2505252072793705E-003,0.2494981067077251E-003,0.6250841256640444E-002,0.9050305919174631E-003,-.6125946211921831E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1360000000000001E-002,0.1000000000000000E+001,0.5048138758853104E-003,0.2505435260886195E-003,0.2494858805943510E-003,0.6328835157934054E-002,0.9268503329902140E-003,-.6100167162122791E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1380000000000001E-002,0.1000000000000000E+001,0.5049406926018423E-003,0.2505623652039426E-003,0.2494748242711383E-003,0.6352836495251452E-002,0.9570611993148268E-003,-.4956156050563200E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1400000000000000E-002,0.1000000000000000E+001,0.5050680937249868E-003,0.2505820858014543E-003,0.2494652315517735E-003,0.6387275819202611E-002,0.1014998551856067E-002,-.4636563314266675E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1420000000000000E-002,0.1000000000000000E+001,0.5051972201781643E-003,0.2506024034392626E-003,0.2494555252495820E-003,0.6525369498556042E-002,0.1016765228981744E-002,-.5069738877252518E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1440000000000000E-002,0.1000000000000000E+001,0.5053286142693421E-003,0.2506223872520105E-003,0.2494453653684369E-003,0.6614039619219760E-002,0.9816160458048389E-003,-.5090142267873260E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1460000000000000E-002,0.1000000000000000E+001,0.5054618377623230E-003,0.2506412132275648E-003,0.2494356700596811E-003,0.6708309678866855E-002,0.9009815096224175E-003,-.4605166487934680E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1480000000000000E-002,0.1000000000000000E+001,0.5055974069940295E-003,0.2506598546471360E-003,0.2494272532394247E-003,0.6848613491792352E-002,0.9631604475021317E-003,-.3811653768440026E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1500000000000000E-002,0.1000000000000000E+001,0.5057350353051734E-003,0.2506791028232003E-003,0.2494195222454888E-003,0.6914217622595603E-002,0.9616571589282231E-003,-.3919340167460399E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1520000000000000E-002,0.1000000000000000E+001,0.5058737720475466E-003,0.2506984928921717E-003,0.2494114790934984E-003,0.6959456614724768E-002,0.9773497382058773E-003,-.4123811822909556E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1540000000000000E-002,0.1000000000000000E+001,0.5060138933146464E-003,0.2507174965300798E-003,0.2494037344045467E-003,0.7052670095255883E-002,0.9230140526007684E-003,-.3620877128822043E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1560000000000000E-002,0.1000000000000000E+001,0.5061559751626207E-003,0.2507358347301762E-003,0.2493975596313197E-003,0.7155514702180863E-002,0.9108059570386356E-003,-.2553896098122193E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1580000000000000E-002,0.1000000000000000E+001,0.5063007547073371E-003,0.2507538967955346E-003,0.2493931310705074E-003,0.7322439769464642E-002,0.8954005788030727E-003,-.1874664714190655E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1600000000000000E-002,0.1000000000000000E+001,0.5064479950857013E-003,0.2507717418547724E-003,0.2493891732913848E-003,0.7401598066956974E-002,0.8891053449849263E-003,-.2083114408392530E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1620000000000000E-002,0.1000000000000000E+001,0.5065965288372604E-003,0.2507893379228799E-003,0.2493855296831428E-003,0.7451777088956666E-002,0.8705014657558949E-003,-.1560493833660559E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1640000000000000E-002,0.1000000000000000E+001,0.5067465687197919E-003,0.2508075753085375E-003,0.2493826885583560E-003,0.7552211164196572E-002,0.9532371000082452E-003,-.1280630953054070E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1660000000000000E-002,0.1000000000000000E+001,0.5068984314482888E-003,0.2508257070809207E-003,0.2493802002294837E-003,0.7634061685482619E-002,0.8599401383124451E-003,-.1207697919293596E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1680000000000000E-002,0.1000000000000000E+001,0.5070514381992225E-003,0.2508429064866534E-003,0.2493781142532363E-003,0.7666613407888993E-002,0.8600004349509881E-003,-.8782783281487138E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.1700000000000000E-002,0.1000000000000000E+001,0.5072059284306666E-003,0.2508610446155647E-003,0.2493759197152934E-003,0.7782409736527663E-002,0.9538124561803397E-003,-.1316259614722201E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1720000000000000E-002,0.1000000000000000E+001,0.5073628433379558E-003,0.2508804984642689E-003,0.2493724449347582E-003,0.7909080992388360E-002,0.9915724142452358E-003,-.2158520920545976E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1740000000000000E-002,0.1000000000000000E+001,0.5075216009757815E-003,0.2509007646854379E-003,0.2493686644599170E-003,0.7966682790182778E-002,0.1035049702657848E-002,-.1621953920630217E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1760000000000000E-002,0.1000000000000000E+001,0.5076830247821297E-003,0.2509209079217077E-003,0.2493648438625807E-003,0.8175697844631758E-002,0.9792739243128326E-003,-.2198643415628998E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1780000000000001E-002,0.1000000000000000E+001,0.5078465103833656E-003,0.2509404761357376E-003,0.2493598960356723E-003,0.8172862278960599E-002,0.9775474786826695E-003,-.2749183492813551E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1800000000000000E-002,0.1000000000000000E+001,0.5080108545522591E-003,0.2509600923195882E-003,0.2493543534546098E-003,0.8261554610385453E-002,0.9840709063787209E-003,-.2793397569677877E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1820000000000000E-002,0.1000000000000000E+001,0.5081771855637119E-003,0.2509805285806924E-003,0.2493489950033953E-003,0.8371546534902187E-002,0.1059555204038296E-002,-.2565053644870027E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1840000000000000E-002,0.1000000000000000E+001,0.5083459869269753E-003,0.2510020955452684E-003,0.2493436217503352E-003,0.8508589791435628E-002,0.1097141253565974E-002,-.2808199415200156E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1860000000000000E-002,0.1000000000000000E+001,0.5085177189308456E-003,0.2510247142165236E-003,0.2493380684127110E-003,0.8664610595598187E-002,0.1164725871952936E-002,-.2745138209026533E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1880000000000000E-002,0.1000000000000000E+001,0.5086911644434382E-003,0.2510482699181446E-003,0.2493322045209187E-003,0.8679940663656750E-002,0.1190844290139810E-002,-.3118753583259500E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1900000000000000E-002,0.1000000000000000E+001,0.5088658519531761E-003,0.2510721669947753E-003,0.2493258522660985E-003,0.8788810310144347E-002,0.1198863372934954E-002,-.3233501236914352E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1920000000000000E-002,0.1000000000000000E+001,0.5090419629383820E-003,0.2510960379559170E-003,0.2493191398540483E-003,0.8822288210447364E-002,0.1188232741239621E-002,-.3478910813295652E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1940000000000001E-002,0.1000000000000000E+001,0.5092199282270742E-003,0.2511194654472830E-003,0.2493126803537136E-003,0.8974240658764428E-002,0.1154516395360003E-002,-.2980589521326864E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1960000000000000E-002,0.1000000000000000E+001,0.5094001022280864E-003,0.2511425888383782E-003,0.2493065268279264E-003,0.9043159442458313E-002,0.1157822714154804E-002,-.3172936265965514E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.1980000000000000E-002,0.1000000000000000E+001,0.5095828089906416E-003,0.2511656040921314E-003,0.2492997468170007E-003,0.9227516813065781E-002,0.1143702661166899E-002,-.3607074659717740E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.2000000000000000E-002,0.1000000000000000E+001,0.5097695214507377E-003,0.2511881887259478E-003,0.2492920983066698E-003,0.9443729196543139E-002,0.1114760720475874E-002,-.4041435671108139E-003,0.1000000000000000E+001,0.3000000000000000E+002
