001-TIME,002-TempTra-001,003-TempTra-002,004-TempTra-003,005-TempVib001,006-TempVib002,007-XiVibMean001,008-XiVibMean002,009-TempRot001,010-TempRot002,011-TempTotal001,012-TempTotal002,013-TempTotal003
1.23000000000000E-004,2.09028065024633E+004,2.06573208080225E+004,2.07800636552429E+004,8.21898745451639E+003,2.36846999392776E+004,1.61546758788401E+000,1.90557382291989E+000,2.71190598733896E+004,1.87344949142911E+004,1.96847834808633E+004,2.09358266478598E+004,2.03103050643615E+004
1.23500000000000E-004,2.08901870821333E+004,2.06622491582492E+004,2.07762181201913E+004,8.23213473723835E+003,2.36850752391348E+004,1.61603679660611E+000,1.90557529483485E+000,2.71034474408569E+004,1.87484800392864E+004,1.96765666183856E+004,2.09421222144214E+004,2.03093444164035E+004
1.24000000000000E-004,2.08814600774366E+004,2.06803339613674E+004,2.07808970194020E+004,8.24335420060573E+003,2.36834034487919E+004,1.61652121717848E+000,1.90556873776949E+000,2.70795266448801E+004,1.87493092601267E+004,1.96672822797292E+004,2.09497550620406E+004,2.03085186708849E+004
1.24500000000000E-004,2.08709125775391E+004,2.06821129481562E+004,2.07765127628476E+004,8.25765323099677E+003,2.36821524490970E+004,1.61713684450571E+000,1.90556383052591E+000,2.70650523268877E+004,1.87639853105142E+004,1.96605572368373E+004,2.09544312604633E+004,2.03074942486503E+004
1.25000000000000E-004,2.08758554816354E+004,2.06814821043945E+004,2.07786687930150E+004,8.26930186710265E+003,2.36807990947675E+004,1.61763691118986E+000,1.90555852120593E+000,2.70455778976031E+004,1.87668764574527E+004,1.96588981710569E+004,2.09546189910239E+004,2.03067585810404E+004
1.25500000000000E-004,2.08647126049907E+004,2.06906397063499E+004,2.07776761556703E+004,8.28285981957920E+003,2.36786496494119E+004,1.61821730971627E+000,1.90555008752877E+000,2.70315172322364E+004,1.87725498906384E+004,1.96519143036446E+004,2.09596440511986E+004,2.03057791774216E+004
1.26000000000000E-004,2.08633332319345E+004,2.06952608900995E+004,2.07792970610170E+004,8.29676123975751E+003,2.36717122840507E+004,1.61881059486641E+000,1.90552285743991E+000,2.70095292199071E+004,1.87830833846160E+004,1.96470258923067E+004,2.09627773682002E+004,2.03049016302534E+004
1.26500000000000E-004,2.08539643802201E+004,2.07044860253997E+004,2.07792252028099E+004,8.31100608275371E+003,2.36670039720102E+004,1.61941663716567E+000,1.90550436774061E+000,2.69902983576300E+004,1.87932440358856E+004,1.96394151484595E+004,2.09684214037136E+004,2.03039182760866E+004
1.27000000000000E-004,2.08562125978871E+004,2.06992975954641E+004,2.07777550966756E+004,8.32777903453628E+003,2.36580649988125E+004,1.62012778449611E+000,1.90546924417794E+000,2.69728666263772E+004,1.88071805523724E+004,1.96380555595737E+004,2.09677234092690E+004,2.03028894844214E+004
1.27500000000000E-004,2.08395388592938E+004,2.07136983396549E+004,2.07766185994744E+004,8.34095589942044E+003,2.36550284762010E+004,1.62068461193227E+000,1.90545730694629E+000,2.69607595186514E+004,1.88126247337973E+004,1.96291172450596E+004,2.09747138972046E+004,2.03019155711321E+004
1.28000000000000E-004,2.08342130802167E+004,2.07261561227553E+004,2.07801846014860E+004,8.35122519980113E+003,2.36478977634410E+004,1.62111744709252E+000,1.90542926270852E+000,2.69449087026725E+004,1.88149635751546E+004,1.96236926108367E+004,2.09788249806433E+004,2.03012587957400E+004
1.28500000000000E-004,2.08450345396022E+004,2.07178564401265E+004,2.07814454898644E+004,8.36588028495304E+003,2.36439855368526E+004,1.62173343747203E+000,1.90541386932336E+000,2.69177117765689E+004,1.88278505684432E+004,1.96229214284934E+004,2.09778662317108E+004,2.03003938301021E+004
1.29000000000000E-004,2.08443649914120E+004,2.07231635516149E+004,2.07837642715134E+004,8.37671633992271E+003,2.36374803206674E+004,1.62218762467032E+000,1.90538826224302E+000,2.68933531776071E+004,1.88409403277553E+004,1.96171438011640E+004,2.09821581871910E+004,2.02996509941775E+004
1.29500000000000E-004,2.08436186284853E+004,2.07357416620926E+004,2.07896801452890E+004,8.38823997892716E+003,2.36314300122292E+004,1.62266944271868E+000,1.90536443341341E+000,2.68655282546727E+004,1.88458665297282E+004,1.96104084931473E+004,2.09873708620611E+004,2.02988896776042E+004
1.30000000000000E-004,2.08492060277003E+004,2.07286234486450E+004,2.07889147381726E+004,8.40139704035160E+003,2.36300539079091E+004,1.62321806379306E+000,1.90535901202198E+000,2.68475092146001E+004,1.88543286701597E+004,1.96097931093811E+004,2.09863475022742E+004,2.02980703058276E+004
1.30500000000000E-004,2.08527569467441E+004,2.07260614464712E+004,2.07894091966077E+004,8.41644528202150E+003,2.36219564981672E+004,1.62384360071710E+000,1.90532709834987E+000,2.68319463291032E+004,1.88614954755394E+004,1.96093329100302E+004,2.09850637136538E+004,2.02971983118420E+004
1.31000000000000E-004,2.08556560673887E+004,2.07234622283615E+004,2.07895591478751E+004,8.43092530364636E+003,2.36148485155811E+004,1.62444356992143E+000,1.90529906648832E+000,2.68185382454731E+004,1.88677086345729E+004,1.96091348231757E+004,2.09837620921346E+004,2.02964484576552E+004
1.31500000000000E-004,2.08493668034187E+004,2.07337791862208E+004,2.07915729948198E+004,8.44189665540781E+003,2.36119484577375E+004,1.62489689366299E+000,1.90528762471771E+000,2.67955167791804E+004,1.88767311027847E+004,1.96012628883065E+004,2.09900529613575E+004,2.02956579248320E+004
