001-TIME,002-nPart-Spec-001,003-TempTra-001,004-TempVib001,005-XiVibMean001,006-TempRot001,007-TempTotal001
3.40000000000000E-007,1.99790000000000E+004,7.85071598332478E+003,7.77856913435044E+003,1.59537993909581E+000,7.88786965769718E+003,7.84453070102800E+003
3.50000000000000E-007,1.99790000000000E+004,7.85591110502557E+003,7.79220051948103E+003,1.59603290081274E+000,7.86627310428765E+003,7.84363703160107E+003
3.60000000000000E-007,1.99790000000000E+004,7.86532366609795E+003,7.77339246132926E+003,1.59513141956581E+000,7.86938737661270E+003,7.84432106230985E+003
3.70000000000000E-007,1.99790000000000E+004,7.86503996230750E+003,7.78357314806601E+003,1.59561988164234E+000,7.86160388568553E+003,7.84428949090410E+003
3.80000000000000E-007,1.99790000000000E+004,7.85884564254577E+003,7.79461612950412E+003,1.59614839339206E+000,7.85923901754037E+003,7.84342253833506E+003
3.90000000000000E-007,1.99790000000000E+004,7.86537215919050E+003,7.77839658033912E+003,1.59537166008067E+000,7.86576586087031E+003,7.84445279673909E+003
4.00000000000000E-007,1.99790000000000E+004,7.85700458111528E+003,7.78995743190517E+003,1.59592559789615E+000,7.86662173070115E+003,7.84369819049337E+003
4.10000000000000E-007,1.99790000000000E+004,7.87703647844556E+003,7.80100012829811E+003,1.59645330268185E+000,7.82627877908191E+003,7.84324500432818E+003
4.20000000000000E-007,1.99790000000000E+004,7.86386884175715E+003,7.78667903650847E+003,1.59576866685922E+000,7.85930345239343E+003,7.84380933724344E+003
4.30000000000000E-007,1.99790000000000E+004,7.88008310228244E+003,7.79720425694360E+003,1.59627206138625E+000,7.82476628497290E+003,7.84325460011445E+003
4.40000000000000E-007,1.99790000000000E+004,7.85165054539248E+003,7.79047506930622E+003,1.59595036522196E+000,7.87425884671702E+003,7.84370378748026E+003
4.50000000000000E-007,1.99790000000000E+004,7.82775241198381E+003,7.79185543040937E+003,1.59601639642158E+000,7.90947232023010E+003,7.84384510171322E+003
4.60000000000000E-007,1.99790000000000E+004,7.86385773867459E+003,7.79340832744049E+003,1.59609065544807E+000,7.85352332555263E+003,7.84367722871047E+003
4.70000000000000E-007,1.99790000000000E+004,7.87415813117877E+003,7.79220051948107E+003,1.59603290081274E+000,7.83926164680706E+003,7.84374590969633E+003
4.80000000000000E-007,1.99790000000000E+004,7.88233927071376E+003,7.78150253403259E+003,1.59552062997088E+000,7.83760163359827E+003,7.84437981581841E+003
