"001-time","002-E-El","003-HDG-#iterations","004-HDG-RunTime","005-HDG-RunTimePerIteration","006-HDG-Norm"
0.2020000000000001E+001,0.4072649147204871E-002,0.1330000000000000E+003,0.7229263000000041E-002,0.5435536090225595E-004,0.8257601695144818E-012
0.2040000000000001E+001,0.4290539971335801E-002,0.1330000000000000E+003,0.7318213999999879E-002,0.5502416541353292E-004,0.8325166488161385E-012
0.2060000000000001E+001,0.4505032549819779E-002,0.1330000000000000E+003,0.7312550999999945E-002,0.5498158646616500E-004,0.8389481701896530E-012
0.2080000000000001E+001,0.4715381458346961E-002,0.1330000000000000E+003,0.7206471000000048E-002,0.5418399248120337E-004,0.8447669081407962E-012
0.2100000000000001E+001,0.4920868448287515E-002,0.1330000000000000E+003,0.7415190000000016E-002,0.5575330827067681E-004,0.8492755391330580E-012
0.2120000000000001E+001,0.5120804124389916E-002,0.1330000000000000E+003,0.8261259000000076E-002,0.6211472932330884E-004,0.8528542584113766E-012
0.2140000000000001E+001,0.5314529515784070E-002,0.1330000000000000E+003,0.7352864000000014E-002,0.5528469172932342E-004,0.8558567991508472E-012
0.2160000000000001E+001,0.5501417536865312E-002,0.1330000000000000E+003,0.7349399999999950E-002,0.5525864661654098E-004,0.8570044018206142E-012
0.2180000000000001E+001,0.5680874335003871E-002,0.1330000000000000E+003,0.7343726999999967E-002,0.5521599248120276E-004,0.8556932267154369E-012
0.2200000000000002E+001,0.5852340522404035E-002,0.1330000000000000E+003,0.7223682000000009E-002,0.5431339849624067E-004,0.8535357960110133E-012
0.2220000000000002E+001,0.6015292289821951E-002,0.1330000000000000E+003,0.7445562000000017E-002,0.5598166917293246E-004,0.8497948536500231E-012
0.2240000000000002E+001,0.6169242400226229E-002,0.1330000000000000E+003,0.7281604999999969E-002,0.5474890977443586E-004,0.8418436082353998E-012
0.2260000000000002E+001,0.6313741060885094E-002,0.1320000000000000E+003,0.7279697999999946E-002,0.5514922727272686E-004,0.9878887275949032E-012
0.2280000000000002E+001,0.6448376672737993E-002,0.1320000000000000E+003,0.7217265999999944E-002,0.5467625757575715E-004,0.9563329211190807E-012
0.2300000000000002E+001,0.6572776456297152E-002,0.1320000000000000E+003,0.7357658000000100E-002,0.5573983333333409E-004,0.9630691434124485E-012
0.2320000000000002E+001,0.6686606953719278E-002,0.1320000000000000E+003,0.7344439000000036E-002,0.5563968939393967E-004,0.9134552180140828E-012
0.2340000000000002E+001,0.6789574407046747E-002,0.1320000000000000E+003,0.7216503999999957E-002,0.5467048484848453E-004,0.9074751088951992E-012
0.2360000000000002E+001,0.6881425013013852E-002,0.1320000000000000E+003,0.7347816999999979E-002,0.5566528030303014E-004,0.8512870443012301E-012
0.2380000000000002E+001,0.6961945055171656E-002,0.1320000000000000E+003,0.7292807000000012E-002,0.5524853787878797E-004,0.8255596238625070E-012
0.2400000000000002E+001,0.7030960914444167E-002,0.1320000000000000E+003,0.7275535000000000E-002,0.5511768939393939E-004,0.7554783196550933E-012
0.2420000000000002E+001,0.7088338959605903E-002,0.1320000000000000E+003,0.1102059700000002E-001,0.8348937121212137E-004,0.7057408979578641E-012
0.2440000000000002E+001,0.7133985319486023E-002,0.1320000000000000E+003,0.1078669999999993E-001,0.8171742424242369E-004,0.6126363249985064E-012
0.2460000000000002E+001,0.7167845539070142E-002,0.1310000000000000E+003,0.7314828000000162E-002,0.5583838167939055E-004,0.8801703745905998E-012
0.2480000000000002E+001,0.7189904121981933E-002,0.1310000000000000E+003,0.7126425000000047E-002,0.5440019083969502E-004,0.7098233419659007E-012
0.2500000000000002E+001,0.7200183962143556E-002,0.1300000000000000E+003,0.7237748000000099E-002,0.5567498461538538E-004,0.9455525759443701E-012
0.2520000000000002E+001,0.7198745667728016E-002,0.1290000000000000E+003,0.7096125999999980E-002,0.5500872868217039E-004,0.8189074697297298E-012
0.2540000000000002E+001,0.7185686780784285E-002,0.1240000000000000E+003,0.6908606999999956E-002,0.5571457258064481E-004,0.6362496419327949E-012
0.2560000000000002E+001,0.7161140896223269E-002,0.1290000000000000E+003,0.7098717999999948E-002,0.5502882170542595E-004,0.8536101773680170E-012
0.2580000000000002E+001,0.7125276684086625E-002,0.1300000000000000E+003,0.7058682000000038E-002,0.5429755384615414E-004,0.9345324093319928E-012
0.2600000000000002E+001,0.7078296819281692E-002,0.1300000000000000E+003,0.7312032999999829E-002,0.5624640769230638E-004,0.9289017005414559E-012
0.2620000000000002E+001,0.7020436823199673E-002,0.1310000000000000E+003,0.7449831999999823E-002,0.5686894656488414E-004,0.8264645418131763E-012
0.2640000000000002E+001,0.6951963821841014E-002,0.1310000000000000E+003,0.7354845000000054E-002,0.5614385496183248E-004,0.9384490018219024E-012
