001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempTotal001,020-TempTotal002,021-TempTotal003,022-TempTotal004
4.69000000000049E-05,517,2479,2479,5475,3776.39171005953,3783.9645829909,3658.35485046461,3726.37523098393,3675.060521958,3692.01224601782,0,11.7248908371481,7.863345210265,0,3743.61693739554,3638.14165078505,0,3703.81459527218,3700.25305828125,3658.35485046461,3681.61847516652
4.70000000000049E-05,517,2479,2479,5475,3763.87956091149,3681.42368686643,3685.39606054886,3691.00856380525,3694.48706448486,3696.23537215742,0,11.7521197977067,7.86717011677279,0,3557.05404944059,3715.79295302671,0,3682.98863172421,3697.26209113577,3685.39606054886,3690.54149417856
4.7100000000005E-05,516,2480,2480,5476,3810.46905845436,3594.92184242118,3679.39315183882,3653.48853541403,3682.6431401701,3694.58571350914,0,11.7355462289215,7.86567682338595,0,3623.97657436414,3790.7249474225,0,3694.34157081085,3693.82311737637,3679.39315183882,3687.33685138642
4.7200000000005E-05,513,2483,2483,5479,3836.17249357334,3668.22691578835,3625.64837182686,3664.65574527317,3660.45928192975,3695.70748138997,0,11.7042733897995,7.86669237589003,0,3538.90273845199,3766.63898080631,0,3669.63616261389,3705.10790637313,3625.64837182686,3665.7768187975
4.7300000000005E-05,513,2483,2483,5479,3870.24269171253,3697.02827174647,3638.25061428708,3686.60923067527,3663.27926390946,3688.91088775904,0,11.7082655175303,7.86053195164753,0,3630.5206260339,3722.21832705072,0,3692.79171781214,3697.8769556034,3638.25061428708,3670.37906685083
4.7400000000005E-05,513,2483,2483,5479,3554.81352418848,3696.58342860224,3716.80695323689,3692.47447636709,3669.92188812832,3685.41361142468,0,11.7176498447181,7.8573551320566,0,3702.43089229818,3699.56273491338,0,3655.93594295604,3690.89494760138,3716.80695323689,3699.36465751376
4.7500000000005E-05,513,2483,2483,5479,3585.46063549905,3723.73931052928,3793.15850532237,3742.25197714376,3666.78857481754,3677.09933183732,0,11.7132266560544,7.84978382075307,0,3563.84626979985,3655.32021055708,0,3635.57965146649,3682.48443915744,3793.15850532237,3728.24854760826
4.7600000000005E-05,512,2484,2484,5480,3796.22303457564,3635.52365592282,3772.97337097844,3712.84175338056,3664.53258923377,3674.39389165414,0,11.7100382230355,7.84731439407957,0,3676.07624869054,3694.22009952747,0,3688.79579572629,3670.26803143691,3772.97337097844,3718.55384872474
4.7700000000005E-05,512,2484,2484,5480,3796.35655313761,3639.88785220667,3734.95315395039,3697.59846979938,3642.223398461,3674.06395992448,0,11.6783387311565,7.84701305102867,0,3763.89758605668,3736.99202526098,0,3689.02768473472,3680.29316419678,3734.95315395039,3705.8857716901
4.78000000000051E-05,511,2485,2485,5481,3565.74489350195,3656.85606011858,3792.02893146656,3709.64693389319,3645.79537563529,3662.84628111614,0,11.6834349947754,7.83674229229307,0,3754.87038320742,3740.64911911064,0,3650.71939499816,3678.41626474667,3792.02893146656,3727.34426627147
4.79000000000051E-05,511,2485,2485,5481,3508.70961165661,3677.98232995843,3761.31634238556,3699.98318050198,3659.64462046895,3662.45036304056,0,11.7031191949006,7.8363789020167,0,3708.90544951617,3755.80472613914,0,3642.41474499123,3686.05906820559,3761.31634238556,3716.11053275124
4.80000000000051E-05,510,2486,2486,5482,3685.50489678417,3628.9553489073,3774.90263839305,3700.40103133685,3674.05786169855,3662.25240400276,0,11.723479230549,7.83619718399417,0,3643.55597459226,3739.83424325389,0,3670.83250423243,3671.85434525152,3774.90263839305,3718.49004715413
