001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,022-TempTotal004,DISS
3.77999999999997E-06,4732,15246,15246,7637.04898848327,7.11258669051209E-18
3.87999999999997E-06,4693,15285,15285,7630.69908215123,7.23797084066076E-18
3.97999999999997E-06,4641,15337,15337,7599.90132576237,7.05054127135028E-18
4.07999999999997E-06,4606,15372,15372,7579.87908139616,8.39027066407803E-18
4.17999999999997E-06,4559,15419,15419,7560.89754575531,5.40032369250744E-18
4.27999999999997E-06,4515,15463,15463,7545.78116480137,6.21666858769001E-18
4.37999999999997E-06,4481,15497,15497,7504.21634629455,5.95761343906831E-18
4.47999999999997E-06,4448,15530,15530,7469.8083543878,6.53927695627327E-18
4.57999999999997E-06,4416,15562,15562,7449.30824076375,5.65906171362783E-18
4.67999999999997E-06,4381,15597,15597,7446.04169812683,6.84488382980077E-18
4.77999999999997E-06,4354,15624,15624,7459.44776241913,6.45158698343143E-18
4.87999999999996E-06,4317,15661,15661,7425.82771772725,4.45023325661912E-18
4.97999999999996E-06,4283,15695,15695,7413.75883009119,8.33525500214443E-18
5.07999999999996E-06,4239,15739,15739,7386.5140277022,7.42301207624198E-18
5.17999999999996E-06,4211,15767,15767,7373.20146066699,7.05388545089931E-18
5.27999999999996E-06,4178,15800,15800,7346.81897621841,7.21222253461484E-18
5.37999999999996E-06,4146,15832,15832,7324.52380213127,6.26166033744156E-18
5.47999999999996E-06,4115,15863,15863,7316.21765982502,4.94019798115445E-18
5.57999999999996E-06,4089,15889,15889,7318.1004859786,5.12116566712177E-18
5.67999999999996E-06,4065,15913,15913,7311.47034880171,5.86190592993139E-18
5.77999999999996E-06,4039,15939,15939,7290.43590726615,4.86869720939344E-18
5.87999999999995E-06,4017,15961,15961,7272.20052115714,5.56777857360513E-18
5.97999999999995E-06,3994,15984,15984,7259.08888492951,4.92639827937685E-18
6.07999999999995E-06,3970,16008,16008,7265.92729040642,4.89521358918669E-18
6.17999999999995E-06,3947,16031,16031,7250.82626169378,6.43132513546513E-18
